#======= TRAJECTORY BEGIN: blue- moves from center speaker to left note 
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     1.207       5.531      -0.000       0.000       0.000       0.000       1.500
#--------Waypoint:     2.656       6.809       1.047       1.449       1.278       1.047       2.300
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    0.00000,    0.00000,    0.00000,    1.63668,Segment:  1
   0.32094,    0.29347,    0.91440,    0.04706,    0.00178,    0.07490,    1.54093,Segment:  2
   0.45532,    0.41635,    0.91440,    0.09446,    0.00705,    0.14586,    1.43317,Segment:  3
   0.55977,    0.51186,    0.91440,    0.14216,    0.01572,    0.21261,    1.32000,Segment:  4
   0.64917,    0.59360,    0.91440,    0.19010,    0.02767,    0.27502,    1.20680,Segment:  5
   0.72925,    0.66683,    0.91440,    0.23825,    0.04280,    0.33315,    1.09752,Segment:  6
   0.80295,    0.73422,    0.91440,    0.28655,    0.06102,    0.38712,    0.99476,Segment:  7
   0.87197,    0.79733,    0.91440,    0.33497,    0.08221,    0.43715,    0.90004,Segment:  8
   0.93740,    0.85716,    0.79498,    0.38346,    0.10627,    0.48350,    0.81398,Segment:  9
   1.06116,    0.95554,    0.81088,    0.48045,    0.16261,    0.56624,    0.66764,Segment:  10
   1.17823,    1.05048,    0.87074,    0.57716,    0.22921,    0.63756,    0.55243,Segment:  11
   1.28971,    1.14755,    0.90160,    0.67324,    0.30524,    0.69949,    0.46292,Segment:  12
   1.34354,    1.19608,    0.91407,    0.72092,    0.34653,    0.72751,    0.42611,Segment:  13
   1.39617,    1.24419,    0.91440,    0.76831,    0.38987,    0.75381,    0.39380,Segment:  14
   1.44768,    1.29129,    0.91440,    0.81536,    0.43516,    0.77858,    0.36544,Segment:  15
   1.49814,    1.33743,   -0.73868,    0.86202,    0.48229,    0.80197,    0.34057,Segment:  16
   1.54916,    1.29974,   -0.91440,    0.90824,    0.53115,    0.82413,    0.31878,Segment:  17
   1.60259,    1.25089,   -0.91440,    0.95399,    0.58166,    0.84518,    0.29971,Segment:  18
   1.65886,    1.19943,   -0.91440,    0.99921,    0.63369,    0.86526,    0.28306,Segment:  19
   1.71828,    1.14509,   -0.91440,    1.04387,    0.68716,    0.88446,    0.26856,Segment:  20
   1.78126,    1.08751,   -0.91440,    1.08791,    0.74195,    0.90288,    0.25600,Segment:  21
   1.84829,    1.02621,   -0.91440,    1.13129,    0.79796,    0.92063,    0.24518,Segment:  22
   1.92008,    0.96057,   -0.91440,    1.17396,    0.85510,    0.93777,    0.23594,Segment:  23
   1.99756,    0.88972,   -0.91440,    1.21589,    0.91324,    0.95440,    0.22817,Segment:  24
   2.08213,    0.81239,   -0.91440,    1.25702,    0.97231,    0.97058,    0.22174,Segment:  25
   2.17591,    0.72664,   -0.91440,    1.29730,    1.03218,    0.98639,    0.21658,Segment:  26
   2.28251,    0.62916,   -0.91440,    1.33670,    1.09276,    1.00189,    0.21263,Segment:  27
   2.40901,    0.51350,   -0.91440,    1.37517,    1.15394,    1.01715,    0.20985,Segment:  28
   2.57374,    0.36286,   -0.91440,    1.41266,    1.21563,    1.03223,    0.20820,Segment:  29
   2.97057,    0.00000,   -0.91440,    1.44912,    1.27771,    1.04720,    0.20768,Segment:  30
#======= TRAJECTORY END: blue- moves from center speaker to left note 
