#======= TRAJECTORY BEGIN: blue- moves from left note to center speaker 
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     2.664       6.809       1.047      -0.000       0.000       0.000       1.500
#--------Waypoint:     1.283       5.531       0.000      -1.797       0.557      -1.047       1.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  TRUE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,   -0.00000,   -0.91440,    0.00000,    0.00000,    0.00000,    0.33165,Segment:  1
   0.46732,   -0.42731,   -0.91440,   -0.09983,    0.00150,   -0.02888,    0.25721,Segment:  2
   0.67875,   -0.62065,   -0.91440,   -0.21052,    0.00619,   -0.05511,    0.22137,Segment:  3
   0.85021,   -0.77743,   -0.91440,   -0.33010,    0.01433,   -0.08056,    0.20604,Segment:  4
   0.92741,   -0.84802,   -0.91440,   -0.39260,    0.01978,   -0.09339,    0.20355,Segment:  5
   1.00037,   -0.91474,   -0.91440,   -0.45659,    0.02620,   -0.10648,    0.20382,Segment:  6
   1.06973,   -0.97816,   -0.91440,   -0.52182,    0.03361,   -0.11993,    0.20661,Segment:  7
   1.13592,   -1.03869,   -0.91440,   -0.58803,    0.04206,   -0.13389,    0.21178,Segment:  8
   1.19927,   -1.09661,   -0.91440,   -0.65499,    0.05157,   -0.14845,    0.21932,Segment:  9
   1.26000,   -1.15215,   -0.91440,   -0.72245,    0.06219,   -0.16376,    0.22932,Segment:  10
   1.31830,   -1.20546,   -0.91440,   -0.79016,    0.07393,   -0.17993,    0.24194,Segment:  11
   1.37430,   -1.25666,   -0.91440,   -0.85788,    0.08685,   -0.19713,    0.25747,Segment:  12
   1.42810,   -1.30586,   -0.10280,   -0.92536,    0.10096,   -0.21551,    0.27627,Segment:  13
   1.48063,   -1.31126,    0.91440,   -0.99235,    0.11631,   -0.23525,    0.29883,Segment:  14
   1.53370,   -1.26272,    0.91440,   -1.05860,    0.13293,   -0.25655,    0.32578,Segment:  15
   1.58840,   -1.21271,    0.91440,   -1.12388,    0.15085,   -0.27966,    0.35791,Segment:  16
   1.64475,   -1.16118,    0.91440,   -1.18794,    0.17011,   -0.30484,    0.39623,Segment:  17
   1.70282,   -1.10808,    0.91440,   -1.25052,    0.19073,   -0.33241,    0.44196,Segment:  18
   1.76272,   -1.05331,    0.91440,   -1.31139,    0.21276,   -0.36273,    0.49664,Segment:  19
   1.82458,   -0.99675,    0.91440,   -1.37029,    0.23623,   -0.39623,    0.56215,Segment:  20
   1.95504,   -0.87745,    0.91440,   -1.48122,    0.28761,   -0.47481,    0.73510,Segment:  21
   2.02438,   -0.81405,    0.91440,   -1.53276,    0.31560,   -0.52113,    0.84825,Segment:  22
   2.09722,   -0.74744,    0.91440,   -1.58135,    0.34515,   -0.57308,    0.98341,Segment:  23
   2.17454,   -0.67674,    0.91440,   -1.62674,    0.37631,   -0.63150,    1.14353,Segment:  24
   2.25793,   -0.60049,    0.91440,   -1.66870,    0.40911,   -0.69724,    1.33052,Segment:  25
   2.35019,   -0.51613,    0.91440,   -1.70697,    0.44358,   -0.77115,    1.54380,Segment:  26
   2.45692,   -0.41854,    0.91440,   -1.74130,    0.47976,   -0.85392,    1.77819,Segment:  27
   2.51948,   -0.36133,    0.91440,   -1.75692,    0.49851,   -0.89878,    1.89984,Segment:  28
   2.59291,   -0.29418,    0.91440,   -1.77146,    0.51769,   -0.94598,    2.02151,Segment:  29
   2.68773,   -0.20748,    0.91440,   -1.78489,    0.53731,   -0.99547,    2.14025,Segment:  30
   2.91463,   -0.00000,    0.91440,   -1.79719,    0.55738,   -1.04720,    2.25256,Segment:  31
#======= TRAJECTORY END: blue- moves from left note to center speaker 
