#======= TRAJECTORY BEGIN: 2 piece -right of speaker - move 1 - forward
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     0.634       4.171      -1.047       0.000       0.000       0.000       1.500
#--------Waypoint:     2.285       3.915       0.000       1.048       1.302       1.047       3.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.50800  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.63500,    0.00000,    0.00000,    0.00000,    0.77788,Segment:  1
   0.52596,    0.33398,    0.63500,    0.08776,    0.00352,    0.08692,    1.23480,Segment:  2
   0.63442,    0.40286,    0.63500,    0.12746,    0.00804,    0.14167,    1.51240,Segment:  3
   0.72209,    0.45853,    0.45312,    0.16467,    0.01451,    0.20427,    1.80654,Segment:  4
   0.79763,    0.49276,   -0.36572,    0.19958,    0.02299,    0.27436,    2.09219,Segment:  5
   0.86955,    0.46645,   -0.21083,    0.23241,    0.03358,    0.35089,    2.33482,Segment:  6
   0.94256,    0.45106,   -0.06296,    0.26337,    0.04634,    0.43208,    2.49687,Segment:  7
   1.01594,    0.44644,    0.08421,    0.29268,    0.06137,    0.51551,    2.54882,Segment:  8
   1.08896,    0.45259,    0.23729,    0.32054,    0.07872,    0.59839,    2.48003,Segment:  9
   1.16087,    0.46965,    0.40385,    0.34716,    0.09849,    0.67797,    2.30309,Segment:  10
   1.23099,    0.49797,    0.59338,    0.37276,    0.12075,    0.75195,    2.04859,Segment:  11
   1.29872,    0.53816,    0.63500,    0.39755,    0.14558,    0.81870,    1.75407,Segment:  12
   1.36421,    0.57974,    0.63500,    0.42174,    0.17305,    0.87735,    1.45330,Segment:  13
   1.42829,    0.62043,    0.63500,    0.44554,    0.20326,    0.92767,    1.17049,Segment:  14
   1.55477,    0.70075,    0.63500,    0.49281,    0.27215,    1.00465,    0.70532,Segment:  15
   1.68169,    0.78134,    0.63500,    0.54106,    0.35288,    1.05455,    0.38436,Segment:  16
   1.81083,    0.86335,    0.63500,    0.59198,    0.44608,    1.08340,    0.17940,Segment:  17
   1.94315,    0.94737,    0.63500,    0.64725,    0.55237,    1.09663,    0.05470,Segment:  18
   2.01069,    0.99026,   -0.51872,    0.67705,    0.61062,    1.09878,    0.01326,Segment:  19
   2.08204,    0.95325,   -0.63500,    0.70857,    0.67237,    1.09855,   -0.01798,Segment:  20
   2.16113,    0.90302,   -0.63500,    0.74203,    0.73772,    1.09633,   -0.04117,Segment:  21
   2.24989,    0.84666,   -0.63500,    0.77763,    0.80672,    1.09244,   -0.05803,Segment:  22
   2.35061,    0.78271,   -0.63500,    0.81559,    0.87947,    1.08715,   -0.06993,Segment:  23
   2.46676,    0.70895,   -0.63500,    0.85611,    0.95604,    1.08072,   -0.07797,Segment:  24
   2.60410,    0.62174,   -0.63500,    0.89942,    1.03650,    1.07334,   -0.08302,Segment:  25
   2.77368,    0.51406,   -0.63500,    0.94571,    1.12094,    1.06520,   -0.08576,Segment:  26
   3.00357,    0.36807,   -0.63500,    0.99521,    1.20944,    1.05644,   -0.08673,Segment:  27
   3.58322,    0.00000,   -0.63500,    1.04812,    1.30207,    1.04720,   -0.08637,Segment:  28
#======= TRAJECTORY END: 2 piece -right of speaker - move 1 - forward
