#======= TRAJECTORY BEGIN: from left note to center speaker
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    13.751       6.765       2.094       0.000       0.000      -0.000       1.500
#--------Waypoint:    15.202       5.531       3.142      -1.794      -0.640       1.047       1.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  TRUE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,   -0.00000,   -0.91440,    0.00000,    0.00000,   -0.00000,   -0.55087,Segment:  1
   0.46726,   -0.42727,   -0.91440,   -0.09979,   -0.00243,    0.04599,   -0.39170,Segment:  2
   0.67876,   -0.62066,   -0.91440,   -0.21037,   -0.00972,    0.08428,   -0.30912,Segment:  3
   0.85043,   -0.77763,   -0.91440,   -0.32977,   -0.02192,    0.11844,   -0.26545,Segment:  4
   0.92779,   -0.84837,   -0.91440,   -0.39216,   -0.02986,    0.13471,   -0.25273,Segment:  5
   1.00096,   -0.91528,   -0.91440,   -0.45603,   -0.03904,    0.15073,   -0.24450,Segment:  6
   1.07057,   -0.97893,   -0.91440,   -0.52112,   -0.04946,    0.16668,   -0.24005,Segment:  7
   1.13704,   -1.03971,   -0.91440,   -0.58720,   -0.06113,    0.18273,   -0.23893,Segment:  8
   1.20071,   -1.09793,   -0.91440,   -0.65401,   -0.07404,    0.19904,   -0.24085,Segment:  9
   1.26180,   -1.15379,   -0.91440,   -0.72131,   -0.08820,    0.21576,   -0.24570,Segment:  10
   1.32048,   -1.20745,   -0.91440,   -0.78886,   -0.10361,    0.23303,   -0.25346,Segment:  11
   1.37690,   -1.25904,   -0.91440,   -0.85641,   -0.12028,    0.25103,   -0.26425,Segment:  12
   1.43116,   -1.30865,   -0.25997,   -0.92372,   -0.13822,    0.26990,   -0.27830,Segment:  13
   1.48401,   -1.32239,    0.91440,   -0.99055,   -0.15741,    0.28984,   -0.29595,Segment:  14
   1.53731,   -1.27365,    0.91440,   -1.05663,   -0.17788,    0.31104,   -0.31768,Segment:  15
   1.59229,   -1.22338,    0.91440,   -1.12175,   -0.19962,    0.33373,   -0.34412,Segment:  16
   1.64900,   -1.17152,    0.91440,   -1.18564,   -0.22264,    0.35815,   -0.37610,Segment:  17
   1.70752,   -1.11802,    0.91440,   -1.24806,   -0.24693,    0.38459,   -0.41465,Segment:  18
   1.76793,   -1.06277,    0.91440,   -1.30877,   -0.27251,    0.41338,   -0.46108,Segment:  19
   1.83040,   -1.00565,    0.91440,   -1.36753,   -0.29937,    0.44492,   -0.51703,Segment:  20
   1.96237,   -0.88498,    0.91440,   -1.47819,   -0.35698,    0.51807,   -0.66599,Segment:  21
   2.03262,   -0.82075,    0.91440,   -1.52960,   -0.38772,    0.56081,   -0.76439,Segment:  22
   2.10646,   -0.75322,    0.91440,   -1.57808,   -0.41977,    0.60856,   -0.88307,Segment:  23
   2.18488,   -0.68152,    0.91440,   -1.62338,   -0.45312,    0.66211,   -1.02563,Segment:  24
   2.26943,   -0.60420,    0.91440,   -1.66525,   -0.48778,    0.72233,   -1.19543,Segment:  25
   2.36289,   -0.51874,    0.91440,   -1.70345,   -0.52376,    0.79014,   -1.39469,Segment:  26
   2.47081,   -0.42006,    0.91440,   -1.73774,   -0.56105,    0.86643,   -1.62284,Segment:  27
   2.60783,   -0.29477,    0.91440,   -1.76787,   -0.59966,    0.95198,   -1.87411,Segment:  28
   2.70305,   -0.20770,    0.91440,   -1.78130,   -0.61946,    0.99837,   -2.00447,Segment:  29
   2.93020,   -0.00000,    0.91440,   -1.79359,   -0.63959,    1.04720,   -2.13463,Segment:  30
#======= TRAJECTORY END: from left note to center speaker
