#======= TRAJECTORY BEGIN: 2 piece - center - move 1  - Fwd
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    15.151       5.531       3.142       0.000       0.000       0.000       1.000
#--------Waypoint:    14.135       5.531       3.142       1.016       0.000       0.000       1.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.76200  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.76200,    0.00000,    0.00000,   -0.00000,    0.00000,Segment:  1
   0.44047,    0.33564,    0.76200,    0.07392,    0.00000,    0.00000,    0.00000,Segment:  2
   0.61407,    0.46792,    0.76200,    0.14367,    0.00000,    0.00000,    0.00000,Segment:  3
   0.74215,    0.56552,    0.76200,    0.20985,    0.00000,    0.00000,    0.00000,Segment:  4
   0.84656,    0.64508,    0.76200,    0.27305,    0.00000,    0.00000,    0.00000,Segment:  5
   1.01550,    0.77381,    0.76200,    0.39291,    0.00000,    0.00000,    0.00000,Segment:  6
   1.15470,    0.87988,   -0.76200,    0.50800,    0.00000,    0.00000,   -0.00000,Segment:  7
   1.29390,    0.77381,   -0.76200,    0.62309,    0.00000,    0.00000,   -0.00000,Segment:  8
   1.46284,    0.64508,   -0.76200,    0.74295,    0.00000,    0.00000,   -0.00000,Segment:  9
   1.56725,    0.56552,   -0.76200,    0.80615,    0.00000,    0.00000,   -0.00000,Segment:  10
   1.69533,    0.46792,   -0.76200,    0.87233,    0.00000,    0.00000,   -0.00000,Segment:  11
   1.86893,    0.33564,   -0.76200,    0.94208,    0.00000,    0.00000,   -0.00000,Segment:  12
   2.30940,    0.00000,   -0.76200,    1.01600,    0.00000,   -0.00000,   -0.00000,Segment:  13
#======= TRAJECTORY END: 2 piece - center - move 1  - Fwd
