#======= TRAJECTORY BEGIN: TwoPiece-Center-MoveCenterLineN2Fwd
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    15.151       5.531       3.142       0.000       0.000       0.000       3.000
#--------Waypoint:    11.466       6.565      -0.000       3.685      -1.034      -3.142       1.000
#--------Waypoint:     8.643       5.706       3.142       6.509      -0.174       0.000       2.600
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    0.00000,    0.00000,    0.00000,   -0.66009,Segment:  1
   0.45656,    0.41748,    0.91440,    0.09526,   -0.00284,   -0.05807,   -0.56104,Segment:  2
   0.65111,    0.59537,    0.91440,    0.19343,   -0.01113,   -0.10897,   -0.47470,Segment:  3
   0.80412,    0.73529,    0.91440,    0.29436,   -0.02451,   -0.15341,   -0.40050,Segment:  4
   0.93619,    0.85605,    0.91440,    0.39787,   -0.04263,   -0.19206,   -0.33720,Segment:  5
   1.05514,    0.96482,    0.91440,    0.50380,   -0.06513,   -0.22557,   -0.28334,Segment:  6
   1.16490,    1.06518,    0.91440,    0.61200,   -0.09166,   -0.25450,   -0.23746,Segment:  7
   1.26772,    1.15920,    0.91440,    0.72229,   -0.12187,   -0.27935,   -0.19821,Segment:  8
   1.36503,    1.24818,    0.91440,    0.83452,   -0.15539,   -0.30053,   -0.16442,Segment:  9
   1.45777,    1.33299,    0.91440,    0.94852,   -0.19188,   -0.31841,   -0.13508,Segment:  10
   1.54662,    1.41423,    0.91440,    1.06413,   -0.23098,   -0.33329,   -0.10933,Segment:  11
   1.63205,    1.49235,    0.91440,    1.18119,   -0.27233,   -0.34541,   -0.08647,Segment:  12
   1.71440,    1.56765,    0.91440,    1.29954,   -0.31558,   -0.35499,   -0.06588,Segment:  13
   1.75451,    1.60433,    0.91440,    1.35914,   -0.33781,   -0.35887,   -0.05628,Segment:  14
   1.79395,    1.64038,    0.91440,    1.41900,   -0.36038,   -0.36217,   -0.04706,Segment:  15
   1.83273,    1.67585,    0.91440,    1.47910,   -0.38325,   -0.36491,   -0.03817,Segment:  16
   1.87088,    1.71073,    0.91440,    1.53943,   -0.40638,   -0.36710,   -0.02956,Segment:  17
   1.90842,    1.74506,    0.91440,    1.59995,   -0.42971,   -0.36874,   -0.02118,Segment:  18
   1.94536,    1.77884,    0.91440,    1.66065,   -0.45321,   -0.36985,   -0.01300,Segment:  19
