#======= TRAJECTORY BEGIN: blue- moves from left note to center speaker 
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     2.664       6.809       1.047      -0.000       0.000       0.000       1.500
#--------Waypoint:     1.486       5.531       0.000      -1.696       0.381      -1.047       1.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  TRUE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,   -0.00000,   -0.91440,    0.00000,    0.00000,    0.00000,   -0.13762,Segment:  1
   0.46461,   -0.42484,   -0.91440,   -0.09869,   -0.00047,    0.00790,   -0.03320,Segment:  2
   0.67151,   -0.61403,   -0.91440,   -0.20616,   -0.00137,    0.00762,    0.03355,Segment:  3
   0.83756,   -0.76587,   -0.91440,   -0.32072,   -0.00191,    0.00080,    0.08330,Segment:  4
   0.98182,   -0.89777,   -0.91440,   -0.44072,   -0.00130,   -0.01184,    0.12650,Segment:  5
   1.11117,   -1.01605,   -0.91440,   -0.56447,    0.00125,   -0.03014,    0.16950,Segment:  6
   1.22889,   -1.12370,   -0.91440,   -0.69030,    0.00651,   -0.05442,    0.21717,Segment:  7
   1.33677,   -1.22235,    0.09659,   -0.81655,    0.01527,   -0.08540,    0.27435,Segment:  8
   1.44001,   -1.21238,    0.91440,   -0.94155,    0.02832,   -0.12423,    0.34678,Segment:  9
   1.54603,   -1.11543,    0.91440,   -1.06361,    0.04645,   -0.17259,    0.44203,Segment:  10
   1.65871,   -1.01239,    0.91440,   -1.18107,    0.07044,   -0.23286,    0.57045,Segment:  11
   1.77919,   -0.90223,    0.91440,   -1.29226,    0.10107,   -0.30818,    0.74577,Segment:  12
   1.84301,   -0.84387,    0.85185,   -1.34497,    0.11912,   -0.35272,    0.85605,Segment:  13
   1.90965,   -0.78710,    0.75987,   -1.39550,    0.13913,   -0.40262,    0.98397,Segment:  14
   1.97925,   -0.73422,    0.66821,   -1.44362,    0.16120,   -0.45850,    1.13082,Segment:  15
   2.05185,   -0.68570,    0.57639,   -1.48913,    0.18541,   -0.52098,    1.29650,Segment:  16
   2.12750,   -0.64210,    0.68449,   -1.53181,    0.21188,   -0.59060,    1.47857,Segment:  17
   2.20723,   -0.58752,    0.91440,   -1.57146,    0.24070,   -0.66777,    1.67089,Segment:  18
   2.29490,   -0.50736,    0.91440,   -1.60788,    0.27196,   -0.75260,    1.86243,Segment:  19
   2.34375,   -0.46269,    0.91440,   -1.62480,    0.28854,   -0.79781,    1.95299,Segment:  20
   2.39747,   -0.41357,    0.91440,   -1.64084,    0.30576,   -0.84479,    2.03684,Segment:  21
   2.45819,   -0.35805,    0.91440,   -1.65597,    0.32365,   -0.89340,    2.11133,Segment:  22
   2.53002,   -0.29237,    0.91440,   -1.67015,    0.34221,   -0.94348,    2.17375,Segment:  23
   2.62356,   -0.20683,    0.91440,   -1.68337,    0.36146,   -0.99483,    2.22156,Segment:  24
   2.84976,   -0.00000,    0.91440,   -1.69559,    0.38141,   -1.04720,    2.25256,Segment:  25
#======= TRAJECTORY END: blue- moves from left note to center speaker 
