#======= TRAJECTORY BEGIN: 2 piece -right of speaker - move 1 - forward
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    15.825       4.171      -2.094       0.000       0.000       0.000       1.500
#--------Waypoint:    14.301       3.839      -3.124       1.051      -1.154      -1.030       3.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.50800  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    0.00000,    0.00000,    0.00000,   -0.41054,Segment:  1
   0.43777,    0.40029,    0.91440,    0.08759,   -0.00197,   -0.05031,   -0.77290,Segment:  2
   0.59958,    0.54825,    0.15610,    0.16405,   -0.00857,   -0.12862,   -1.30762,Segment:  3
   0.66287,    0.55813,   -0.80204,    0.19866,   -0.01392,   -0.17994,   -1.63076,Segment:  4
   0.72514,    0.50819,   -0.56135,    0.23113,   -0.02080,   -0.23963,   -1.96704,Segment:  5
   0.78992,    0.47182,   -0.35716,    0.26171,   -0.02935,   -0.30716,   -2.28196,Segment:  6
   0.85664,    0.44799,   -0.17497,    0.29060,   -0.03968,   -0.38123,   -2.53116,Segment:  7
   0.92459,    0.43610,   -0.00342,    0.31802,   -0.05193,   -0.45969,   -2.67106,Segment:  8
   0.99301,    0.43587,    0.16744,    0.34420,   -0.06622,   -0.53979,   -2.67393,Segment:  9
   1.06109,    0.44727,    0.34735,    0.36936,   -0.08269,   -0.61849,   -2.53936,Segment:  10
   1.12808,    0.47054,    0.54713,    0.39371,   -0.10145,   -0.69301,   -2.29443,Segment:  11
   1.19327,    0.50620,    0.78005,    0.41748,   -0.12263,   -0.76119,   -1.98249,Segment:  12
   1.25607,    0.55519,    0.91440,    0.44088,   -0.14636,   -0.82167,   -1.64806,Segment:  13
   1.31645,    0.61041,    0.91440,    0.46414,   -0.17277,   -0.87387,   -1.32593,Segment:  14
   1.37512,    0.66406,    0.91440,    0.48748,   -0.20198,   -0.91787,   -1.03741,Segment:  15
   1.49032,    0.76939,    0.91440,    0.53525,   -0.26932,   -0.98345,   -0.59034,Segment:  16
   1.60561,    0.87481,    0.91440,    0.58597,   -0.34939,   -1.02438,   -0.30304,Segment:  17
   1.72297,    0.98213,    0.91440,    0.64139,   -0.44321,   -1.04699,   -0.13132,Segment:  18
   1.84346,    1.09230,   -0.34750,    0.70327,   -0.55178,   -1.05657,   -0.03366,Segment:  19
   1.90732,    1.07011,   -0.91440,    0.73719,   -0.61192,   -1.05776,   -0.00302,Segment:  20
   1.97835,    1.00516,   -0.91440,    0.77337,   -0.67614,   -1.05712,    0.01915,Segment:  21
   2.05954,    0.93092,   -0.91440,    0.81206,   -0.74454,   -1.05495,    0.03485,Segment:  22
   2.15380,    0.84473,   -0.91440,    0.85346,   -0.81728,   -1.05155,    0.04563,Segment:  23
   2.26598,    0.74215,   -0.91440,    0.89779,   -0.89446,   -1.04715,    0.05271,Segment:  24
   2.40535,    0.61471,   -0.91440,    0.94528,   -0.97622,   -1.04194,    0.05701,Segment:  25
   2.59541,    0.44092,   -0.91440,    0.99615,   -1.06268,   -1.03609,    0.05924,Segment:  26
   3.07761,    0.00000,   -0.91440,    1.05061,   -1.15398,   -1.02974,    0.05994,Segment:  27
#======= TRAJECTORY END: 2 piece -right of speaker - move 1 - forward
