#======= TRAJECTORY BEGIN: 2 piece - right of speaker - move 2  - Reverse
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    15.864       4.075      -2.094       0.000      -0.000      -0.000       3.000
#--------Waypoint:    12.368       1.792       3.142       3.725      -1.886      -1.047       1.200
#--------Waypoint:     8.777       2.274       3.142       5.103      -5.237      -1.047       3.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.63500,    0.00000,    0.00000,    0.00000,   -0.52869,Segment:  1
   0.55027,    0.34942,    0.63500,    0.09611,   -0.00231,   -0.04672,   -0.44718,Segment:  2
   0.78768,    0.50018,    0.63500,    0.19673,   -0.00917,   -0.08844,   -0.38321,Segment:  3
   0.97594,    0.61972,    0.63500,    0.30153,   -0.02050,   -0.12606,   -0.33266,Segment:  4
   1.13942,    0.72353,    0.63500,    0.41021,   -0.03621,   -0.16028,   -0.29245,Segment:  5
   1.28736,    0.81748,    0.63500,    0.52243,   -0.05620,   -0.19171,   -0.26029,Segment:  6
   1.42436,    0.90447,    0.63500,    0.63787,   -0.08039,   -0.22082,   -0.23442,Segment:  7
   1.55309,    0.98621,    0.63500,    0.75623,   -0.10868,   -0.24803,   -0.21355,Segment:  8
   1.67522,    1.06377,    0.63500,    0.87717,   -0.14099,   -0.27366,   -0.19669,Segment:  9
   1.73418,    1.10121,    0.63500,    0.93852,   -0.15862,   -0.28598,   -0.18952,Segment:  10
   1.79189,    1.13785,    0.63500,    1.00038,   -0.17722,   -0.29801,   -0.18309,Segment:  11
   1.84843,    1.17376,    0.63500,    1.06274,   -0.19677,   -0.30979,   -0.17732,Segment:  12
   1.90389,    1.20897,    0.63500,    1.12555,   -0.21728,   -0.32133,   -0.17216,Segment:  13
   1.95832,    1.24353,    0.63500,    1.18876,   -0.23872,   -0.33266,   -0.16757,Segment:  14
   2.01179,    1.27749,    0.63500,    1.25233,   -0.26109,   -0.34382,   -0.16348,Segment:  15
   2.06434,    1.31086,    0.63500,    1.31624,   -0.28436,   -0.35481,   -0.15987,Segment:  16
   2.11602,    1.34368,    0.63500,    1.38043,   -0.30855,   -0.36567,   -0.15671,Segment:  17
   2.16687,    1.37596,    0.63500,    1.44487,   -0.33362,   -0.37640,   -0.15395,Segment:  18
   2.21692,    1.40775,    0.63500,    1.50952,   -0.35957,   -0.38704,   -0.15157,Segment:  19
   2.26620,    1.43904,    0.63500,    1.57433,   -0.38639,   -0.39760,   -0.14956,Segment:  20
   2.31474,    1.46986,    0.63500,    1.63927,   -0.41406,   -0.40810,   -0.14789,Segment:  21
   2.36255,    1.50022,    0.42015,    1.70430,   -0.44258,   -0.41855,   -0.14654,Segment:  22
   2.40983,    1.52008,    0.00057,    1.76938,   -0.47194,   -0.42897,   -0.14551,Segment:  23
   2.45702,    1.52011,    0.00041,    1.83446,   -0.50212,   -0.43938,   -0.14477,Segment:  24
   2.50442,    1.52013,    0.00026,    1.89951,   -0.53311,   -0.44980,   -0.14432,Segment:  25
   2.55201,    1.52014,    0.00012,    1.96449,   -0.56490,   -0.46023,   -0.14414,Segment:  26
   2.59976,    1.52015,   -0.00002,    2.02935,   -0.59748,   -0.47069,   -0.14425,Segment:  27
   2.64765,    1.52015,   -0.00016,    2.09406,   -0.63084,   -0.48121,   -0.14462,Segment:  28
   2.69566,    1.52014,   -0.00029,    2.15858,   -0.66496,   -0.49178,   -0.14525,Segment:  29
   2.74378,    1.52012,   -0.00042,    2.22287,   -0.69984,   -0.50244,   -0.14615,Segment:  30
   2.79197,    1.52010,   -0.00055,    2.28688,   -0.73546,   -0.51319,   -0.14732,Segment:  31
   2.84022,    1.52008,   -0.00068,    2.35059,   -0.77182,   -0.52404,   -0.14875,Segment:  32
   2.88851,    1.52004,   -0.00081,    2.41394,   -0.80889,   -0.53502,   -0.15044,Segment:  33
   2.93682,    1.52001,   -0.00093,    2.47689,   -0.84668,   -0.54614,   -0.15241,Segment:  34
   2.98512,    1.51996,   -0.00106,    2.53942,   -0.88517,   -0.55741,   -0.15465,Segment:  35
   3.03340,    1.51991,   -0.00119,    2.60147,   -0.92434,   -0.56885,   -0.15718,Segment:  36
   3.08163,    1.51985,   -0.00133,    2.66301,   -0.96419,   -0.58047,   -0.15999,Segment:  37
   3.12981,    1.51979,   -0.00146,    2.72399,   -1.00470,   -0.59230,   -0.16311,Segment:  38
   3.17790,    1.51972,   -0.00160,    2.78439,   -1.04587,   -0.60434,   -0.16653,Segment:  39
   3.22590,    1.51964,   -0.00174,    2.84415,   -1.08768,   -0.61663,   -0.17028,Segment:  40
   3.27377,    1.51956,   -0.00188,    2.90324,   -1.13012,   -0.62916,   -0.17435,Segment:  41
   3.32151,    1.51947,   -0.00203,    2.96162,   -1.17318,   -0.64197,   -0.17878,Segment:  42
   3.36910,    1.51937,   -0.00218,    3.01924,   -1.21685,   -0.65506,   -0.18357,Segment:  43
   3.41651,    1.51927,   -0.00233,    3.07607,   -1.26111,   -0.66847,   -0.18874,Segment:  44
   3.46374,    1.51916,   -0.00249,    3.13207,   -1.30597,   -0.68221,   -0.19430,Segment:  45
   3.51076,    1.51904,   -0.00265,    3.18720,   -1.35139,   -0.69630,   -0.20029,Segment:  46
   3.55756,    1.51892,   -0.00281,    3.24141,   -1.39738,   -0.71076,   -0.20671,Segment:  47
   3.60413,    1.51879,   -0.00297,    3.29468,   -1.44392,   -0.72563,   -0.21359,Segment:  48
   3.65045,    1.51865,   -0.00313,    3.34695,   -1.49100,   -0.74091,   -0.22095,Segment:  49
   3.69651,    1.51850,   -0.00330,    3.39818,   -1.53862,   -0.75663,   -0.22882,Segment:  50
   3.74230,    1.51835,   -0.00346,    3.44835,   -1.58674,   -0.77283,   -0.23722,Segment:  51
   3.78779,    1.51820,   -0.00361,    3.49740,   -1.63538,   -0.78952,   -0.24618,Segment:  52
   3.83299,    1.51803,   -0.12924,    3.54531,   -1.68451,   -0.80674,   -0.25571,Segment:  53
   3.87797,    1.51222,   -0.63500,    3.59201,   -1.73413,   -0.82451,   -0.26586,Segment:  54
   3.92313,    1.48354,   -0.63500,    3.63749,   -1.78422,   -0.84285,   -0.27663,Segment:  55
   3.96885,    1.45451,   -0.63500,    3.68170,   -1.83477,   -0.86181,   -0.28805,Segment:  56
   4.01513,    1.42512,    0.08968,    3.72459,   -1.88577,   -0.88140,   -0.30015,Segment:  57
   4.06146,    1.42928,    0.12175,    3.76614,   -1.93721,   -0.90120,   -0.29841,Segment:  58
   4.10729,    1.43486,    0.15482,    3.80637,   -1.98906,   -0.92071,   -0.29609,Segment:  59
   4.15261,    1.44187,    0.18906,    3.84532,   -2.04132,   -0.93992,   -0.29322,Segment:  60
   4.19738,    1.45034,    0.22464,    3.88302,   -2.09397,   -0.95880,   -0.28981,Segment:  61
   4.24159,    1.46027,    0.26178,    3.91949,   -2.14697,   -0.97732,   -0.28588,Segment:  62
   4.28522,    1.47169,    0.32123,    3.95478,   -2.20032,   -0.99547,   -0.28146,Segment:  63
   4.37064,    1.49913,    0.23752,    4.02193,   -2.30798,   -1.03055,   -0.27125,Segment:  64
   4.45390,    1.51891,    0.00142,    4.08473,   -2.41679,   -1.06390,   -0.25940,Segment:  65
   4.53587,    1.51902,    0.00208,    4.14344,   -2.52659,   -1.09539,   -0.24615,Segment:  66
   4.61719,    1.51919,    0.00268,    4.19833,   -2.63725,   -1.12492,   -0.23171,Segment:  67
   4.69789,    1.51941,    0.00323,    4.24967,   -2.74861,   -1.15240,   -0.21628,Segment:  68
   4.77803,    1.51967,    0.00373,    4.29771,   -2.86050,   -1.17776,   -0.20004,Segment:  69
   4.85764,    1.51996,    0.00417,    4.34273,   -2.97280,   -1.20094,   -0.18313,Segment:  70
   4.93672,    1.52029,    0.00457,    4.38499,   -3.08534,   -1.22191,   -0.16564,Segment:  71
   5.01527,    1.52065,    0.00495,    4.42474,   -3.19797,   -1.24063,   -0.14766,Segment:  72
   5.09329,    1.52104,    0.00530,    4.46227,   -3.31054,   -1.25706,   -0.12920,Segment:  73
   5.17076,    1.52145,   -0.12338,    4.49783,   -3.42290,   -1.27118,   -0.11027,Segment:  74
   5.24791,    1.51193,   -0.63500,    4.53168,   -3.53490,   -1.28295,   -0.09082,Segment:  75
   5.32598,    1.46236,   -0.63500,    4.56410,   -3.64638,   -1.29234,   -0.07077,Segment:  76
   5.40611,    1.41147,   -0.63500,    4.59534,   -3.75720,   -1.29930,   -0.05003,Segment:  77
   5.48848,    1.35917,   -0.63500,    4.62567,   -3.86721,   -1.30379,   -0.02844,Segment:  78
   5.57331,    1.30530,   -0.63500,    4.65536,   -3.97625,   -1.30574,   -0.00585,Segment:  79
   5.66085,    1.24971,   -0.63500,    4.68467,   -4.08417,   -1.30508,    0.01794,Segment:  80
   5.75141,    1.19221,   -0.63500,    4.71386,   -4.19082,   -1.30172,    0.04316,Segment:  81
   5.84540,    1.13253,   -0.63500,    4.74320,   -4.29606,   -1.29555,    0.07004,Segment:  82
   5.94331,    1.07035,   -0.63500,    4.77295,   -4.39972,   -1.28647,    0.09887,Segment:  83
   6.04582,    1.00526,   -0.63500,    4.80339,   -4.50165,   -1.27432,    0.12991,Segment:  84
   6.15382,    0.93668,   -0.63500,    4.83476,   -4.60171,   -1.25897,    0.16344,Segment:  85
   6.26858,    0.86381,   -0.63500,    4.86735,   -4.69975,   -1.24024,    0.19972,Segment:  86
   6.39194,    0.78547,   -0.63500,    4.90140,   -4.79561,   -1.21796,    0.23895,Segment:  87
   6.52679,    0.69984,   -0.63500,    4.93720,   -4.88914,   -1.19194,    0.28125,Segment:  88
   6.67804,    0.60380,   -0.63500,    4.97499,   -4.98020,   -1.16200,    0.32660,Segment:  89
