#======= TRAJECTORY BEGIN: blue- moves from center speaker to left note 
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     1.308       5.531      -0.000       0.000       0.000       0.000       3.000
#--------Waypoint:     2.746       6.746       1.047       1.438       1.214       1.047       2.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.63500,    0.00000,    0.00000,    0.00000,    0.42457,Segment:  1
   0.53590,    0.34029,    0.63500,    0.09116,    0.00184,    0.04137,    0.48435,Segment:  2
   0.74765,    0.47476,    0.63500,    0.17729,    0.00729,    0.08593,    0.54990,Segment:  3
   0.90363,    0.57381,    0.63500,    0.25858,    0.01622,    0.13374,    0.62037,Segment:  4
   1.03009,    0.65411,    0.63500,    0.33524,    0.02849,    0.18473,    0.69422,Segment:  5
   1.13745,    0.72228,    0.63500,    0.40748,    0.04399,    0.23878,    0.76912,Segment:  6
   1.23122,    0.78183,    0.43963,    0.47551,    0.06258,    0.29560,    0.84196,Segment:  7
   1.31562,    0.81893,   -0.30496,    0.53952,    0.08413,    0.35477,    0.90898,Segment:  8
   1.39615,    0.79437,   -0.21488,    0.59973,    0.10853,    0.41574,    0.96606,Segment:  9
   1.47603,    0.77720,   -0.12396,    0.65635,    0.13564,    0.47782,    1.00920,Segment:  10
   1.55494,    0.76742,   -0.03092,    0.70957,    0.16533,    0.54021,    1.03509,Segment:  11
   1.63256,    0.76502,    0.06591,    0.75960,    0.19747,    0.60207,    1.04159,Segment:  12
   1.70855,    0.77003,    0.16880,    0.80665,    0.23195,    0.66254,    1.02808,Segment:  13
   1.78262,    0.78253,    0.28092,    0.85092,    0.26863,    0.72080,    0.99550,Segment:  14
   1.85444,    0.80271,    0.40681,    0.89263,    0.30738,    0.77615,    0.94608,Segment:  15
   1.92374,    0.83090,    0.55316,    0.93197,    0.34808,    0.82798,    0.88297,Segment:  16
   1.99024,    0.86769,    0.63500,    0.96915,    0.39060,    0.87583,    0.80969,Segment:  17
   2.11502,    0.94692,    0.08880,    1.03786,    0.48058,    0.95838,    0.64600,Segment:  18
   2.23510,    0.95759,   -0.63500,    1.10040,    0.57630,    1.02255,    0.47690,Segment:  19
   2.36155,    0.87730,   -0.63500,    1.15842,    0.67676,    1.06835,    0.31487,Segment:  20
   2.50314,    0.78738,   -0.63500,    1.21357,    0.78091,    1.09646,    0.16449,Segment:  21
   2.66580,    0.68409,   -0.63500,    1.26748,    0.88776,    1.10771,    0.02562,Segment:  22
   2.86085,    0.56024,   -0.63500,    1.32181,    0.99627,    1.10286,   -0.10381,Segment:  23
   3.11747,    0.39728,   -0.63500,    1.37820,    1.10542,    1.08253,   -0.22586,Segment:  24
   3.74312,    0.00000,   -0.63500,    1.43830,    1.21420,    1.04720,   -0.34128,Segment:  25
#======= TRAJECTORY END: blue- moves from center speaker to left note 
