#======= TRAJECTORY BEGIN: blue- moves from left note to center speaker 
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     2.746       6.746       1.047       0.000       0.000       0.000       3.000
#--------Waypoint:     1.308       5.493       0.000      -1.804       0.619      -1.047       2.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  TRUE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,   -0.00000,   -0.63500,    0.00000,   -0.00000,    0.00000,    0.02792,Segment:  1
   0.53892,   -0.34221,   -0.63500,   -0.09221,    0.00014,   -0.00320,    0.04201,Segment:  2
   0.75586,   -0.47997,   -0.63500,   -0.18139,    0.00061,   -0.00766,    0.05836,Segment:  3
   0.91810,   -0.58299,   -0.63500,   -0.26762,    0.00151,   -0.01348,    0.07727,Segment:  4
   1.05139,   -0.66764,   -0.63500,   -0.35096,    0.00293,   -0.02080,    0.09910,Segment:  5
   1.16582,   -0.74029,   -0.63500,   -0.43148,    0.00495,   -0.02977,    0.12420,Segment:  6
   1.26659,   -0.80429,   -0.63500,   -0.50926,    0.00767,   -0.04052,    0.15298,Segment:  7
   1.35687,   -0.86161,   -0.63500,   -0.58437,    0.01118,   -0.05323,    0.18585,Segment:  8
   1.43871,   -0.91358,   -0.63500,   -0.65689,    0.01556,   -0.06805,    0.22322,Segment:  9
   1.51359,   -0.96113,   -0.63500,   -0.72687,    0.02092,   -0.08516,    0.26549,Segment:  10
   1.58260,   -1.00495,   -0.63500,   -0.79440,    0.02733,   -0.10474,    0.31299,Segment:  11
   1.64656,   -1.04557,   -0.47167,   -0.85955,    0.03489,   -0.12697,    0.36595,Segment:  12
   1.70644,   -1.07381,    0.63500,   -0.92238,    0.04370,   -0.15200,    0.42443,Segment:  13
   1.82313,   -0.99971,    0.63500,   -1.04140,    0.06538,   -0.21109,    0.55681,Segment:  14
   1.94168,   -0.92443,    0.63500,   -1.15203,    0.09311,   -0.28283,    0.70372,Segment:  15
   2.06415,   -0.84666,    0.49173,   -1.25485,    0.12760,   -0.36717,    0.85040,Segment:  16
   2.12745,   -0.81553,    0.37473,   -1.30351,    0.14761,   -0.41368,    0.91656,Segment:  17
   2.19194,   -0.79137,    0.26495,   -1.35044,    0.16958,   -0.46269,    0.97339,Segment:  18
   2.25740,   -0.77402,    0.16038,   -1.39569,    0.19361,   -0.51376,    1.01750,Segment:  19
   2.32362,   -0.76340,    0.05928,   -1.43935,    0.21978,   -0.56636,    1.04601,Segment:  20
   2.39036,   -0.75945,    0.12050,   -1.48149,    0.24818,   -0.61987,    1.05694,Segment:  21
   2.45786,   -0.75131,    0.63500,   -1.52218,    0.27890,   -0.67366,    1.04953,Segment:  22
   2.52840,   -0.70652,    0.63500,   -1.56149,    0.31204,   -0.72705,    1.02440,Segment:  23
   2.60476,   -0.65803,    0.63500,   -1.59949,    0.34769,   -0.77943,    0.98339,Segment:  24
   2.68879,   -0.60468,    0.63500,   -1.63626,    0.38593,   -0.83021,    0.92935,Segment:  25
   2.78317,   -0.54474,    0.63500,   -1.67186,    0.42686,   -0.87893,    0.86566,Segment:  26
   2.89234,   -0.47542,    0.63500,   -1.70637,    0.47056,   -0.92520,    0.79585,Segment:  27
   3.02469,   -0.39137,    0.63500,   -1.73986,    0.51713,   -0.96877,    0.72321,Segment:  28
   3.64103,   -0.00000,    0.63500,   -1.80407,    0.61923,   -1.04720,    0.58009,Segment:  29
#======= TRAJECTORY END: blue- moves from left note to center speaker 
