#======= TRAJECTORY BEGIN: Blue 2 piece - left of speaker - move 1 - forward
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     0.634       6.630       0.873      -0.000       0.000       0.000       1.500
#--------Waypoint:     2.285       6.861       0.000       1.239      -1.117      -0.873       3.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.50800  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.63500,   -0.00000,    0.00000,    0.00000,   -0.59436,Segment:  1
   0.52680,    0.33452,    0.63500,    0.08807,   -0.00272,   -0.06703,   -0.95250,Segment:  2
   0.63592,    0.40381,    0.63500,    0.12820,   -0.00625,   -0.10965,   -1.16895,Segment:  3
   0.72430,    0.45993,    0.63500,    0.16603,   -0.01132,   -0.15861,   -1.39937,Segment:  4
   0.79952,    0.50769,    0.28426,    0.20180,   -0.01803,   -0.21370,   -1.62726,Segment:  5
   0.86712,    0.52691,   -0.31215,    0.23573,   -0.02646,   -0.27424,   -1.82975,Segment:  6
   0.93277,    0.50642,   -0.14354,    0.26807,   -0.03669,   -0.33905,   -1.98083,Segment:  7
   0.99906,    0.49690,    0.02024,    0.29905,   -0.04879,   -0.40644,   -2.05742,Segment:  8
   1.06537,    0.49824,    0.18743,    0.32890,   -0.06286,   -0.47440,   -2.04635,Segment:  9
   1.13105,    0.51055,    0.36700,    0.35784,   -0.07897,   -0.54081,   -1.94886,Segment:  10
   1.19547,    0.53420,    0.56970,    0.38613,   -0.09721,   -0.60373,   -1.78017,Segment:  11
   1.25806,    0.56985,    0.63500,    0.41397,   -0.11765,   -0.66159,   -1.56437,Segment:  12
   1.31882,    0.60844,    0.63500,    0.44162,   -0.14039,   -0.71335,   -1.32740,Segment:  13
   1.37839,    0.64626,    0.63500,    0.46931,   -0.16550,   -0.75849,   -1.09141,Segment:  14
   1.49636,    0.72117,    0.63500,    0.52571,   -0.22316,   -0.82888,   -0.67788,Segment:  15
   1.61540,    0.79676,    0.63500,    0.58503,   -0.29129,   -0.87535,   -0.37572,Segment:  16
   1.73742,    0.87425,    0.63500,    0.64915,   -0.37056,   -0.90255,   -0.17704,Segment:  17
   1.86355,    0.95434,    0.55650,    0.71993,   -0.46160,   -0.91520,   -0.05539,Segment:  18
   1.92855,    0.99051,   -0.63500,    0.75839,   -0.51175,   -0.91736,   -0.01527,Segment:  19
   1.99791,    0.94647,   -0.63500,    0.79922,   -0.56510,   -0.91732,    0.01462,Segment:  20
   2.07530,    0.89732,   -0.63500,    0.84265,   -0.62171,   -0.91545,    0.03645,Segment:  21
   2.16239,    0.84202,   -0.63500,    0.88890,   -0.68169,   -0.91206,    0.05195,Segment:  22
   2.26149,    0.77909,   -0.63500,    0.93821,   -0.74510,   -0.90743,    0.06256,Segment:  23
   2.37612,    0.70630,   -0.63500,    0.99082,   -0.81203,   -0.90179,    0.06939,Segment:  24
   2.51206,    0.61998,   -0.63500,    1.04695,   -0.88256,   -0.89533,    0.07335,Segment:  25
   2.68040,    0.51308,   -0.63500,    1.10685,   -0.95678,   -0.88824,    0.07515,Segment:  26
   2.90931,    0.36772,   -0.63500,    1.17074,   -1.03477,   -0.88064,    0.07533,Segment:  27
   3.48841,    0.00000,   -0.63500,    1.23885,   -1.11660,   -0.87266,    0.07432,Segment:  28
#======= TRAJECTORY END: Blue 2 piece - left of speaker - move 1 - forward
