#======= TRAJECTORY BEGIN: 2 piece -right of speaker - move 1 - forward
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     0.634       4.171      -1.047       0.000       0.000       0.000       1.500
#--------Waypoint:     2.285       3.534       0.000       1.378       1.112       1.047       3.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.50800  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.63500,    0.00000,    0.00000,    0.00000,    0.26988,Segment:  1
   0.53676,    0.34084,    0.63500,    0.09147,    0.00138,    0.03318,    0.46210,Segment:  2
   0.75084,    0.47678,    0.63500,    0.17884,    0.00632,    0.08291,    0.67826,Segment:  3
   0.91111,    0.57855,    0.63500,    0.26286,    0.01600,    0.14955,    0.89628,Segment:  4
   1.04455,    0.66329,    0.03260,    0.34423,    0.03160,    0.23184,    1.08079,Segment:  5
   1.10665,    0.66531,   -0.19732,    0.38415,    0.04199,    0.27788,    1.14766,Segment:  6
   1.16947,    0.65292,   -0.07749,    0.42369,    0.05431,    0.32640,    1.19165,Segment:  7
   1.23372,    0.64794,    0.03274,    0.46292,    0.06869,    0.37668,    1.21003,Segment:  8
   1.29907,    0.65008,    0.13715,    0.50195,    0.08530,    0.42794,    1.20208,Segment:  9
   1.36521,    0.65915,    0.23863,    0.54086,    0.10428,    0.47935,    1.16923,Segment:  10
   1.43181,    0.67504,    0.33943,    0.57974,    0.12577,    0.53016,    1.11482,Segment:  11
   1.49858,    0.69770,    0.44142,    0.61869,    0.14993,    0.57967,    1.04357,Segment:  12
   1.56525,    0.72713,    0.54618,    0.65779,    0.17690,    0.62730,    0.96080,Segment:  13
   1.63158,    0.76336,    0.63500,    0.69713,    0.20683,    0.67260,    0.87177,Segment:  14
   1.69742,    0.80517,    0.63500,    0.73681,    0.23986,    0.71525,    0.78109,Segment:  15
   1.82834,    0.88831,    0.63500,    0.81753,    0.31585,    0.79197,    0.60854,Segment:  16
   1.96023,    0.97205,    0.40841,    0.90068,    0.40605,    0.85712,    0.46082,Segment:  17
   2.02755,    0.99955,   -0.63500,    0.94339,    0.45685,    0.88556,    0.39818,Segment:  18
   2.09922,    0.95403,   -0.63500,    0.98697,    0.51164,    0.91145,    0.34297,Segment:  19
   2.17877,    0.90352,   -0.63500,    1.03153,    0.57057,    0.93495,    0.29474,Segment:  20
   2.26784,    0.84696,   -0.63500,    1.07714,    0.63380,    0.95624,    0.25290,Segment:  21
   2.36877,    0.78287,   -0.63500,    1.12389,    0.70147,    0.97551,    0.21679,Segment:  22
   2.48506,    0.70903,   -0.63500,    1.17189,    0.77372,    0.99292,    0.18575,Segment:  23
   2.62247,    0.62177,   -0.63500,    1.22122,    0.85071,    1.00865,    0.15914,Segment:  24
   2.79208,    0.51407,   -0.63500,    1.27197,    0.93258,    1.02284,    0.13636,Segment:  25
   3.02199,    0.36807,   -0.63500,    1.32422,    1.01949,    1.03565,    0.11688,Segment:  26
   3.60163,    0.00000,   -0.63500,    1.37808,    1.11157,    1.04720,    0.10024,Segment:  27
#======= TRAJECTORY END: 2 piece -right of speaker - move 1 - forward
