#======= TRAJECTORY BEGIN: 2 piece - left of speaker - move 2  - Reverse
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    14.161       5.531       3.142       0.000       0.000       0.000       1.000
#--------Waypoint:    15.151       5.531       3.142      -0.991      -0.000       0.000       1.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  TRUE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,   -0.00000,   -0.63500,   -0.00000,    0.00000,   -0.00000,   -0.00000,Segment:  1
   0.62644,   -0.39779,   -0.63500,   -0.12460,    0.00000,    0.00000,   -0.00000,Segment:  2
   0.88475,   -0.56181,   -0.63500,   -0.24853,    0.00000,    0.00000,   -0.00000,Segment:  3
   1.08247,   -0.68737,   -0.63500,   -0.37203,    0.00000,    0.00000,   -0.00000,Segment:  4
   1.24900,   -0.79311,    0.63500,   -0.49530,    0.00000,    0.00000,   -0.00000,Segment:  5
   1.41553,   -0.68737,    0.63500,   -0.61857,    0.00000,    0.00000,   -0.00000,Segment:  6
   1.61325,   -0.56181,    0.63500,   -0.74207,    0.00000,    0.00000,   -0.00000,Segment:  7
   1.87156,   -0.39779,    0.63500,   -0.86600,    0.00000,    0.00000,   -0.00000,Segment:  8
   2.49800,   -0.00000,    0.63500,   -0.99060,    0.00000,    0.00000,   -0.00000,Segment:  9
#======= TRAJECTORY END: 2 piece - left of speaker - move 2  - Reverse
