#======= TRAJECTORY BEGIN: TwoPiece-Center-MoveCenterLineN2Fwd
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     1.308       5.531       0.000       0.000       0.000       0.000       3.000
#--------Waypoint:     5.320       6.514      -0.000       4.012       0.983      -0.000       1.000
#--------Waypoint:     7.817       5.782       0.000       6.509       0.251       0.000       2.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.63500,    0.00000,    0.00000,    0.00000,    0.61353,Segment:  1
   0.55014,    0.34934,    0.63500,    0.09606,    0.00264,    0.05314,    0.49762,Segment:  2
   0.78747,    0.50004,    0.63500,    0.19655,    0.01035,    0.09842,    0.40495,Segment:  3
   0.97577,    0.61962,    0.63500,    0.30123,    0.02280,    0.13703,    0.33083,Segment:  4
   1.13944,    0.72354,    0.63500,    0.40985,    0.03967,    0.16998,    0.27127,Segment:  5
   1.28767,    0.81767,    0.63500,    0.52213,    0.06062,    0.19811,    0.22305,Segment:  6
   1.42504,    0.90490,    0.63500,    0.63784,    0.08534,    0.22208,    0.18365,Segment:  7
   1.55419,    0.98691,    0.63500,    0.75672,    0.11350,    0.24245,    0.15112,Segment:  8
   1.67677,    1.06475,    0.63500,    0.87850,    0.14478,    0.25969,    0.12393,Segment:  9
   1.73594,    1.10232,    0.63500,    0.94041,    0.16148,    0.26725,    0.11197,Segment:  10
   1.79385,    1.13910,    0.63500,    1.00295,    0.17884,    0.27415,    0.10092,Segment:  11
   1.85059,    1.17512,    0.63500,    1.06608,    0.19681,    0.28043,    0.09069,Segment:  12
   1.90621,    1.21045,    0.63500,    1.12979,    0.21536,    0.28613,    0.08118,Segment:  13
   1.96080,    1.24511,    0.63500,    1.19403,    0.23444,    0.29127,    0.07229,Segment:  14
   2.01439,    1.27914,    0.63500,    1.25878,    0.25402,    0.29588,    0.06397,Segment:  15
   2.06704,    1.31257,    0.63500,    1.32400,    0.27405,    0.29997,    0.05613,Segment:  16
   2.11879,    1.34543,    0.63500,    1.38966,    0.29449,    0.30357,    0.04872,Segment:  17
   2.16966,    1.37773,    0.63500,    1.45573,    0.31530,    0.30670,    0.04169,Segment:  18
   2.21970,    1.40951,    0.63500,    1.52218,    0.33645,    0.30937,    0.03498,Segment:  19
   2.26892,    1.44076,    0.63500,    1.58897,    0.35788,    0.31160,    0.02854,Segment:  20
