#======= TRAJECTORY BEGIN: 2 piece - left of speaker - move 2  - Reverse
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     2.285       6.861       0.000       0.000       0.000       0.000       3.000
#--------Waypoint:     0.595       6.726       0.873      -1.690      -0.135       0.873       1.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  TRUE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,   -0.00000,   -0.63500,    0.00000,    0.00000,    0.00000,    0.11435,Segment:  1
   0.53860,   -0.34201,   -0.63500,   -0.09210,    0.00048,   -0.01045,    0.11241,Segment:  2
   0.75496,   -0.47940,   -0.63500,   -0.18095,    0.00185,   -0.02031,    0.10919,Segment:  3
   0.91645,   -0.58194,   -0.63500,   -0.26662,    0.00399,   -0.02948,    0.10446,Segment:  4
   1.04884,   -0.66601,   -0.63500,   -0.34918,    0.00677,   -0.03785,    0.09791,Segment:  5
   1.16222,   -0.73801,   -0.63500,   -0.42871,    0.01008,   -0.04531,    0.08920,Segment:  6
   1.26182,   -0.80126,   -0.63500,   -0.50528,    0.01381,   -0.05174,    0.07792,Segment:  7
   1.35076,   -0.85774,   -0.63500,   -0.57895,    0.01782,   -0.05698,    0.06358,Segment:  8
   1.43112,   -0.90876,   -0.63500,   -0.64979,    0.02201,   -0.06089,    0.04560,Segment:  9
   1.50433,   -0.95525,   -0.63500,   -0.71789,    0.02625,   -0.06327,    0.02328,Segment:  10
   1.57146,   -0.99788,   -0.26390,   -0.78332,    0.03043,   -0.06393,   -0.00420,Segment:  11
   1.69310,   -1.02998,    0.63500,   -0.90641,    0.03811,   -0.05918,   -0.07880,Segment:  12
   1.80722,   -0.95751,    0.63500,   -1.01966,    0.04410,   -0.04450,   -0.18852,Segment:  13
   1.92008,   -0.88585,    0.63500,   -1.12363,    0.04746,   -0.01725,   -0.34725,Segment:  14
   2.03212,   -0.81470,    0.63500,   -1.21889,    0.04722,    0.02579,   -0.57202,Segment:  15
   2.14411,   -0.74359,    0.63500,   -1.30602,    0.04244,    0.08827,   -0.87877,Segment:  16
   2.25749,   -0.67159,    0.63500,   -1.38559,    0.03217,    0.17376,   -1.26969,Segment:  17
   2.31548,   -0.63476,    0.63500,   -1.42271,    0.02467,    0.22594,   -1.48761,Segment:  18
   2.37497,   -0.59699,    0.63500,   -1.45817,    0.01545,    0.28447,   -1.70803,Segment:  19
   2.43665,   -0.55782,    0.63500,   -1.49202,    0.00438,    0.34907,   -1.91591,Segment:  20
   2.50152,   -0.51663,    0.63500,   -1.52434,   -0.00867,    0.41904,   -2.09264,Segment:  21
   2.57101,   -0.47251,    0.63500,   -1.55520,   -0.02379,    0.49331,   -2.21884,Segment:  22
   2.64727,   -0.42408,    0.63500,   -1.58467,   -0.04113,    0.57042,   -2.27865,Segment:  23
   2.73385,   -0.36910,    0.63500,   -1.61282,   -0.06079,    0.64864,   -2.26402,Segment:  24
   2.83742,   -0.30333,    0.63500,   -1.63973,   -0.08289,    0.72618,   -2.17722,Segment:  25
   2.97464,   -0.21620,    0.63500,   -1.66546,   -0.10755,    0.80133,   -2.03025,Segment:  26
   3.31511,   -0.00000,    0.63500,   -1.69009,   -0.13490,    0.87266,   -1.84137,Segment:  27
#======= TRAJECTORY END: 2 piece - left of speaker - move 2  - Reverse
