#======= TRAJECTORY BEGIN: 2 piece - right of speaker - move 2  - Reverse
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     2.285       3.534       0.000       0.000       0.000       0.000       3.000
#--------Waypoint:     0.595       4.075      -1.047      -1.690       0.541      -1.047       1.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  TRUE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,   -0.00000,   -0.63500,    0.00000,    0.00000,    0.00000,    0.12993,Segment:  1
   0.53907,   -0.34231,   -0.63500,   -0.09226,    0.00057,   -0.01253,    0.14205,Segment:  2
   0.75628,   -0.48024,   -0.63500,   -0.18158,    0.00227,   -0.02581,    0.15546,Segment:  3
   0.91883,   -0.58346,   -0.63500,   -0.26799,    0.00510,   -0.03988,    0.17031,Segment:  4
   1.05246,   -0.66831,   -0.63500,   -0.35153,    0.00905,   -0.05479,    0.18677,Segment:  5
   1.16721,   -0.74118,   -0.63500,   -0.43224,    0.01411,   -0.07062,    0.20500,Segment:  6
   1.26830,   -0.80537,   -0.63500,   -0.51017,    0.02027,   -0.08742,    0.22523,Segment:  7
   1.35885,   -0.86287,   -0.63500,   -0.58535,    0.02752,   -0.10526,    0.24764,Segment:  8
   1.44092,   -0.91499,   -0.63500,   -0.65783,    0.03586,   -0.12421,    0.27248,Segment:  9
   1.51596,   -0.96263,   -0.63500,   -0.72764,    0.04528,   -0.14435,    0.30000,Segment:  10
   1.58502,   -1.00649,   -0.63500,   -0.79482,    0.05577,   -0.16576,    0.33044,Segment:  11
   1.64893,   -1.04707,   -0.60410,   -0.85942,    0.06733,   -0.18852,    0.36407,Segment:  12
   1.70839,   -1.08299,    0.63500,   -0.92147,    0.07993,   -0.21273,    0.40116,Segment:  13
   1.82308,   -1.01016,    0.63500,   -1.03811,    0.10828,   -0.26580,    0.48663,Segment:  14
   1.93785,   -0.93728,    0.63500,   -1.14505,    0.14075,   -0.32565,    0.58836,Segment:  15
   2.05353,   -0.86383,    0.63500,   -1.24261,    0.17727,   -0.39290,    0.70653,Segment:  16
   2.17132,   -0.78903,    0.63500,   -1.33112,    0.21780,   -0.46797,    0.83898,Segment:  17
   2.29303,   -0.71174,    0.63500,   -1.41089,    0.26225,   -0.55096,    0.97991,Segment:  18
   2.35620,   -0.67163,    0.63500,   -1.44761,    0.28594,   -0.59532,    1.05050,Segment:  19
   2.42152,   -0.63015,    0.63500,   -1.48226,    0.31058,   -0.64145,    1.11894,Segment:  20
   2.48968,   -0.58687,    0.63500,   -1.51490,    0.33617,   -0.68920,    1.18328,Segment:  21
   2.56155,   -0.54123,    0.63500,   -1.54555,    0.36271,   -0.73838,    1.24143,Segment:  22
   2.63844,   -0.49241,    0.63500,   -1.57426,    0.39018,   -0.78873,    1.29128,Segment:  23
   2.72228,   -0.43917,    0.63500,   -1.60106,    0.41858,   -0.83998,    1.33089,Segment:  24
   2.81634,   -0.37944,    0.63500,   -1.62601,    0.44790,   -0.89179,    1.35866,Segment:  25
   2.92687,   -0.30925,    0.63500,   -1.64914,    0.47813,   -0.94383,    1.37344,Segment:  26
   3.06996,   -0.21839,    0.63500,   -1.67048,    0.50927,   -0.99575,    1.37468,Segment:  27
   3.41389,   -0.00000,    0.63500,   -1.69009,    0.54130,   -1.04720,    1.36244,Segment:  28
#======= TRAJECTORY END: 2 piece - right of speaker - move 2  - Reverse
