#======= TRAJECTORY BEGIN: 2 piece - left of speaker - move 2  - Reverse
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    15.151       5.531       3.142       0.000       0.000       0.000       1.000
#--------Waypoint:    14.135       5.531       3.142       1.016       0.000       0.000       1.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.63500,    0.00000,    0.00000,    0.00000,   -0.00000,Segment:  1
   0.62918,    0.39953,    0.63500,    0.12569,    0.00000,   -0.00000,   -0.00000,Segment:  2
   0.89178,    0.56628,    0.63500,    0.25250,    0.00000,   -0.00000,   -0.00000,Segment:  3
   0.99797,    0.63371,    0.63500,    0.31621,    0.00000,   -0.00000,   -0.00000,Segment:  4
   1.09410,    0.69475,    0.63500,    0.38006,    0.00000,   -0.00000,   -0.00000,Segment:  5
   1.18256,    0.75093,    0.63500,    0.44401,    0.00000,   -0.00000,   -0.00000,Segment:  6
   1.26491,    0.80322,   -0.63500,    0.50800,    0.00000,   -0.00000,   -0.00000,Segment:  7
   1.34726,    0.75093,   -0.63500,    0.57199,    0.00000,   -0.00000,   -0.00000,Segment:  8
   1.43573,    0.69475,   -0.63500,    0.63594,    0.00000,   -0.00000,   -0.00000,Segment:  9
   1.53185,    0.63371,   -0.63500,    0.69979,   -0.00000,   -0.00000,   -0.00000,Segment:  10
   1.63804,    0.56628,   -0.63500,    0.76350,   -0.00000,   -0.00000,   -0.00000,Segment:  11
   1.90064,    0.39953,   -0.63500,    0.89031,   -0.00000,   -0.00000,   -0.00000,Segment:  12
   2.52982,    0.00000,   -0.63500,    1.01600,   -0.00000,   -0.00000,   -0.00000,Segment:  13
#======= TRAJECTORY END: 2 piece - left of speaker - move 2  - Reverse
