#======= TRAJECTORY BEGIN: TwoPiece-LeftOfSpeaker-Move2CenterNote
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    15.134       5.493       3.142       0.000       0.000       0.000       1.200
#--------Waypoint:    14.174       3.534      -3.124       0.960       1.959       0.017       1.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.50800  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.63500,    0.00000,    0.00000,    0.00000,    8.13836,Segment:  1
   0.17161,    0.10897,    0.63500,    0.00934,    0.00036,    0.07607,    8.10435,Segment:  2
   0.24263,    0.15407,    0.63500,    0.01862,    0.00142,    0.15109,    7.93168,Segment:  3
   0.29737,    0.18883,    0.63500,    0.02784,    0.00317,    0.22424,    7.63663,Segment:  4
   0.34391,    0.21838,    0.63500,    0.03700,    0.00560,    0.29482,    7.24362,Segment:  5
   0.38543,    0.24474,    0.63500,    0.04610,    0.00871,    0.36228,    6.78099,Segment:  6
   0.42355,    0.26895,    0.63500,    0.05514,    0.01247,    0.42623,    6.27705,Segment:  7
   0.45925,    0.29162,    0.57936,    0.06412,    0.01689,    0.48644,    5.75701,Segment:  8
   0.49325,    0.31132,    0.48151,    0.07304,    0.02194,    0.54281,    5.24131,Segment:  9
   0.52623,    0.32720,    0.53964,    0.08191,    0.02761,    0.59534,    4.74500,Segment:  10
   0.55845,    0.34459,    0.62761,    0.09072,    0.03390,    0.64414,    4.27813,Segment:  11
   0.62057,    0.38358,    0.63500,    0.10817,    0.04829,    0.73121,    3.45271,Segment:  12
   0.68021,    0.42145,    0.63500,    0.12541,    0.06499,    0.80564,    2.77764,Segment:  13
   0.73812,    0.45822,    0.63500,    0.14244,    0.08394,    0.86921,    2.23923,Segment:  14
   0.79478,    0.49420,    0.63500,    0.15926,    0.10503,    0.92363,    1.81470,Segment:  15
   0.85047,    0.52956,    0.63500,    0.17589,    0.12818,    0.97037,    1.48095,Segment:  16
   0.95951,    0.59881,    0.63500,    0.20859,    0.18029,    1.04565,    1.00965,Segment:  17
   1.06599,    0.66642,    0.63500,    0.24059,    0.23956,    1.10268,    0.70962,Segment:  18
   1.17007,    0.73251,    0.63500,    0.27193,    0.30528,    1.14660,    0.51205,Segment:  19
   1.27177,    0.79709,    0.63500,    0.30266,    0.37673,    1.18081,    0.37714,Segment:  20
