#======= TRAJECTORY BEGIN: 2 piece - left of speaker - move 2  - Reverse
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    14.174       6.861       3.142       0.000       0.000       0.000       3.000
#--------Waypoint:    15.864       6.726       2.094      -1.690       0.135      -1.047       1.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  TRUE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,   -0.00000,   -0.63500,   -0.00000,    0.00000,   -0.00000,   -0.14101,Segment:  1
   0.53907,   -0.34231,   -0.63500,   -0.09226,   -0.00060,    0.01287,   -0.13785,Segment:  2
   0.75628,   -0.48024,   -0.63500,   -0.18158,   -0.00229,    0.02500,   -0.13335,Segment:  3
   0.91882,   -0.58345,   -0.63500,   -0.26799,   -0.00494,    0.03628,   -0.12728,Segment:  4
   1.05242,   -0.66829,   -0.63500,   -0.35153,   -0.00841,    0.04661,   -0.11937,Segment:  5
   1.16711,   -0.74111,   -0.63500,   -0.43224,   -0.01256,    0.05586,   -0.10928,Segment:  6
   1.26808,   -0.80523,   -0.63500,   -0.51017,   -0.01724,    0.06392,   -0.09665,Segment:  7
   1.35844,   -0.86261,   -0.63500,   -0.58535,   -0.02231,    0.07064,   -0.08097,Segment:  8
   1.44022,   -0.91454,   -0.63500,   -0.65783,   -0.02764,    0.07585,   -0.06168,Segment:  9
   1.51485,   -0.96193,   -0.63500,   -0.72764,   -0.03307,    0.07938,   -0.03805,Segment:  10
   1.58337,   -1.00544,   -0.54733,   -0.79482,   -0.03848,    0.08101,   -0.00920,Segment:  11
   1.64674,   -1.04012,    0.63500,   -0.85942,   -0.04373,    0.08051,    0.02596,Segment:  12
   1.70772,   -1.00140,    0.63500,   -0.92147,   -0.04866,    0.07761,    0.06878,Segment:  13
   1.82917,   -0.92428,    0.63500,   -1.03811,   -0.05702,    0.06334,    0.18451,Segment:  14
   1.95004,   -0.84753,    0.63500,   -1.14505,   -0.06245,    0.03513,    0.35649,Segment:  15
   2.07061,   -0.77097,    0.63500,   -1.24261,   -0.06383,   -0.01110,    0.61141,Segment:  16
   2.19154,   -0.69418,    0.63500,   -1.33112,   -0.06001,   -0.08048,    0.98286,Segment:  17
   2.25256,   -0.65543,    0.63500,   -1.37208,   -0.05581,   -0.12570,    1.22174,Segment:  18
