#======= TRAJECTORY BEGIN: 2 piece -right of speaker - move 1 - forward
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    15.825       4.171      -2.094       0.000       0.000       0.000       1.500
#--------Waypoint:    14.352       3.534       3.159       1.289      -0.958      -1.030       3.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.50800  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.63500,    0.00000,    0.00000,    0.00000,    0.11318,Segment:  1
   0.53322,    0.33860,    0.63500,    0.09027,    0.00023,    0.00230,   -0.07669,Segment:  2
   0.74094,    0.47050,    0.63500,    0.17430,   -0.00013,   -0.01463,   -0.34207,Segment:  3
   0.89300,    0.56706,    0.63500,    0.25315,   -0.00268,   -0.05434,   -0.67808,Segment:  4
   1.01668,    0.64559,   -0.07527,    0.32787,   -0.00899,   -0.11906,   -1.05183,Segment:  5
   1.07341,    0.64132,   -0.63500,    0.36402,   -0.01406,   -0.16078,   -1.23150,Segment:  6
   1.13140,    0.60450,   -0.41736,    0.39953,   -0.02067,   -0.20821,   -1.39019,Segment:  7
   1.19223,    0.57911,   -0.23023,    0.43455,   -0.02902,   -0.26062,   -1.51474,Segment:  8
   1.25543,    0.56456,   -0.07160,    0.46920,   -0.03931,   -0.31695,   -1.59382,Segment:  9
   1.32050,    0.55990,    0.07031,    0.50361,   -0.05173,   -0.37593,   -1.62046,Segment:  10
   1.38692,    0.56457,    0.20336,    0.53792,   -0.06648,   -0.43611,   -1.59376,Segment:  11
   1.45420,    0.57826,    0.33313,    0.57226,   -0.08377,   -0.49609,   -1.51923,Segment:  12
   1.52186,    0.60080,    0.46381,    0.60676,   -0.10378,   -0.55456,   -1.40738,Segment:  13
   1.58948,    0.63216,    0.59879,    0.64156,   -0.12673,   -0.61043,   -1.27120,Segment:  14
   1.65667,    0.67239,    0.63500,    0.67678,   -0.15280,   -0.66291,   -1.12363,Segment:  15
   1.72345,    0.71479,    0.63500,    0.71257,   -0.18221,   -0.71148,   -0.97553,Segment:  16
   1.79022,    0.75719,    0.63500,    0.74905,   -0.21513,   -0.75589,   -0.83484,Segment:  17
   1.92527,    0.84295,    0.63500,    0.82462,   -0.29236,   -0.83223,   -0.59283,Segment:  18
   2.06413,    0.93113,   -0.57249,    0.90456,   -0.38608,   -0.89319,   -0.41057,Segment:  19
   2.13889,    0.88833,   -0.63500,    0.94650,   -0.43961,   -0.91861,   -0.34001,Segment:  20
   2.22322,    0.83478,   -0.63500,    0.98992,   -0.49787,   -0.94109,   -0.28111,Segment:  21
   2.31971,    0.77351,   -0.63500,    1.03497,   -0.56104,   -0.96092,   -0.23223,Segment:  22
   2.43190,    0.70227,   -0.63500,    1.08177,   -0.62932,   -0.97841,   -0.19182,Segment:  23
   2.56564,    0.61734,   -0.63500,    1.13046,   -0.70292,   -0.99380,   -0.15849,Segment:  24
   2.73211,    0.51164,   -0.63500,    1.18117,   -0.78203,   -1.00735,   -0.13103,Segment:  25
   2.95955,    0.36721,   -0.63500,    1.23403,   -0.86685,   -1.01927,   -0.10841,Segment:  26
   3.53784,    0.00000,   -0.63500,    1.28918,   -0.95759,   -1.02974,   -0.08976,Segment:  27
#======= TRAJECTORY END: 2 piece -right of speaker - move 1 - forward
