#======= TRAJECTORY BEGIN: 2 piece - left of speaker - move 1 - forward
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    15.825       6.630       2.094       0.000      -0.000      -0.000       1.500
#--------Waypoint:    14.072       6.988       3.124       1.187       1.339       1.030       3.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.50800  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    0.00000,   -0.00000,   -0.00000,    0.90460,Segment:  1
   0.31616,    0.28910,    0.91440,    0.04569,    0.00100,    0.04526,    1.08006,Segment:  2
   0.44181,    0.40399,    0.91440,    0.08913,    0.00405,    0.09632,    1.26761,Segment:  3
   0.53510,    0.48930,    0.88727,    0.13048,    0.00921,    0.15309,    1.45747,Segment:  4
   0.61175,    0.55730,   -0.33402,    0.16991,    0.01653,    0.21517,    1.63561,Segment:  5
   0.68303,    0.53349,   -0.20421,    0.20760,    0.02607,    0.28179,    1.78487,Segment:  6
   0.75526,    0.51874,   -0.07974,    0.24371,    0.03790,    0.35175,    1.88781,Segment:  7
   0.82793,    0.51295,    0.04316,    0.27842,    0.05206,    0.42354,    1.93071,Segment:  8
   0.90052,    0.51608,    0.16829,    0.31189,    0.06863,    0.49543,    1.90734,Segment:  9
   0.97249,    0.52819,    0.29972,    0.34430,    0.08765,    0.56568,    1.82086,Segment:  10
   1.04334,    0.54943,    0.44206,    0.37581,    0.10920,    0.63270,    1.68284,Segment:  11
   1.11260,    0.58004,    0.60093,    0.40660,    0.13331,    0.69521,    1.50989,Segment:  12
   1.17985,    0.62046,    0.78347,    0.43684,    0.16007,    0.75234,    1.31958,Segment:  13
   1.24477,    0.67132,    0.91440,    0.46669,    0.18952,    0.80360,    1.12720,Segment:  14
   1.30730,    0.72849,    0.91440,    0.49632,    0.22172,    0.84885,    0.94401,Segment:  15
   1.42726,    0.83819,    0.91440,    0.55562,    0.29462,    0.92195,    0.62965,Segment:  16
   1.54393,    0.94487,    0.59574,    0.61611,    0.37923,    0.97437,    0.39526,Segment:  17
   1.66181,    1.01510,   -0.91440,    0.67914,    0.47604,    1.00981,    0.23160,Segment:  18
   1.72517,    0.95716,   -0.91440,    0.71203,    0.52916,    1.02231,    0.17099,Segment:  19
   1.79637,    0.89206,   -0.91440,    0.74607,    0.58551,    1.03187,    0.12172,Segment:  20
   1.87745,    0.81792,   -0.91440,    0.78143,    0.64514,    1.03887,    0.08192,Segment:  21
   1.97160,    0.73182,   -0.91440,    0.81827,    0.70811,    1.04363,    0.04996,Segment:  22
   2.08439,    0.62868,   -0.91440,    0.85677,    0.77448,    1.04643,    0.02446,Segment:  23
   2.22757,    0.49777,   -0.91440,    0.89709,    0.84431,    1.04755,    0.00425,Segment:  24
   2.43860,    0.30480,    0.00000,    0.93941,    0.91766,    1.04721,   -0.01161,Segment:  25
   2.73015,    0.30480,    0.00000,    0.98390,    0.99459,    1.04560,   -0.02395,Segment:  26
   3.03586,    0.30480,    0.00000,    1.03072,    1.07515,    1.04291,   -0.03340,Segment:  27
   3.35619,    0.30480,    0.00000,    1.08005,    1.15941,    1.03928,   -0.04052,Segment:  28
   3.69160,    0.30480,   -0.43428,    1.13206,    1.24743,    1.03485,   -0.04575,Segment:  29
   4.39345,    0.00000,   -0.43428,    1.18691,    1.33925,    1.02974,   -0.04946,Segment:  30
#======= TRAJECTORY END: 2 piece - left of speaker - move 1 - forward
