#======= TRAJECTORY BEGIN: 2 piece - left of speaker - move 2  - Reverse
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    14.072       6.986       3.142       0.000       0.000       0.000       3.000
#--------Waypoint:    15.825       6.630       2.094      -1.753       0.356      -1.047       1.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  TRUE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,   -0.00000,   -0.91440,   -0.00000,    0.00000,   -0.00000,    0.00613,Segment:  1
   0.44966,   -0.41117,   -0.91440,   -0.09244,    0.00004,   -0.00092,    0.01400,Segment:  2
   0.63143,   -0.57738,   -0.91440,   -0.18229,    0.00019,   -0.00257,    0.02304,Segment:  3
   0.76782,   -0.70210,   -0.91440,   -0.26954,    0.00051,   -0.00502,    0.03341,Segment:  4
   0.88022,   -0.80488,   -0.91440,   -0.35423,    0.00107,   -0.00834,    0.04532,Segment:  5
   0.97697,   -0.89334,   -0.91440,   -0.43637,    0.00192,   -0.01261,    0.05902,Segment:  6
   1.06236,   -0.97142,   -0.91440,   -0.51598,    0.00313,   -0.01792,    0.07479,Segment:  7
   1.13897,   -1.04148,   -0.91440,   -0.59308,    0.00475,   -0.02437,    0.09297,Segment:  8
   1.20850,   -1.10506,   -0.91440,   -0.66767,    0.00685,   -0.03207,    0.11393,Segment:  9
   1.27213,   -1.16323,   -0.91440,   -0.73978,    0.00948,   -0.04114,    0.13816,Segment:  10
   1.33072,   -1.21681,   -0.91440,   -0.80943,    0.01270,   -0.05172,    0.16618,Segment:  11
   1.38493,   -1.26638,    0.71267,   -0.87663,    0.01658,   -0.06396,    0.19864,Segment:  12
   1.43697,   -1.22930,    0.91440,   -0.94141,    0.02118,   -0.07804,    0.23625,Segment:  13
   1.54094,   -1.13423,    0.91440,   -1.06373,    0.03275,   -0.11250,    0.33047,Segment:  14
   1.64572,   -1.03842,    0.91440,   -1.17654,    0.04790,   -0.15688,    0.45702,Segment:  15
   1.75201,   -0.94123,    0.91440,   -1.27998,    0.06711,   -0.21331,    0.62560,Segment:  16
   1.86099,   -0.84157,    0.91440,   -1.37418,    0.09085,   -0.28419,    0.84542,Segment:  17
   1.91711,   -0.79026,    0.91029,   -1.41786,    0.10458,   -0.32582,    0.97612,Segment:  18
   1.97479,   -0.73776,    0.77836,   -1.45928,    0.11962,   -0.37194,    1.12000,Segment:  19
   2.03423,   -0.69149,    0.65620,   -1.49846,    0.13604,   -0.42277,    1.27490,Segment:  20
   2.09536,   -0.65137,    0.54188,   -1.53541,    0.15390,   -0.47839,    1.43676,Segment:  21
   2.15806,   -0.61740,    0.43377,   -1.57016,    0.17324,   -0.53877,    1.59923,Segment:  22
   2.22217,   -0.58959,    0.33047,   -1.60272,    0.19415,   -0.60368,    1.75366,Segment:  23
   2.28752,   -0.56799,    0.71256,   -1.63311,    0.21667,   -0.67266,    1.88955,Segment:  24
   2.35592,   -0.51925,    0.91440,   -1.66135,    0.24086,   -0.74501,    1.99571,Segment:  25
   2.43185,   -0.44983,    0.91440,   -1.68745,    0.26679,   -0.81980,    2.06204,Segment:  26
   2.52151,   -0.36784,    0.91440,   -1.71142,    0.29452,   -0.89591,    2.08159,Segment:  27
   2.63855,   -0.26082,    0.91440,   -1.73330,    0.32410,   -0.97212,    2.05210,Segment:  28
   2.92379,   -0.00000,    0.91440,   -1.75308,    0.35560,   -1.04720,    1.97662,Segment:  29
#======= TRAJECTORY END: 2 piece - left of speaker - move 2  - Reverse
