#======= TRAJECTORY BEGIN: 2 piece -right of speaker - move 1 - forward
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    15.825       4.171      -2.094       0.000       0.000       0.000       1.500
#--------Waypoint:    14.174       3.737      -3.124       1.202      -1.213      -1.030       3.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.50800  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    0.00000,    0.00000,    0.00000,   -0.56836,Segment:  1
   0.44204,    0.40420,    0.91440,    0.08930,   -0.00264,   -0.06358,   -0.87191,Segment:  2
   0.61164,    0.55929,    0.60809,    0.17056,   -0.01111,   -0.14912,   -1.23135,Segment:  3
   0.67827,    0.59980,   -0.49795,    0.20859,   -0.01780,   -0.20018,   -1.41203,Segment:  4
   0.74248,    0.56783,   -0.33582,    0.24511,   -0.02626,   -0.25624,   -1.57552,Segment:  5
   0.80832,    0.54572,   -0.18908,    0.28028,   -0.03660,   -0.31652,   -1.70578,Segment:  6
   0.87535,    0.53305,   -0.05140,    0.31427,   -0.04893,   -0.37984,   -1.78784,Segment:  7
   0.94306,    0.52957,    0.08255,    0.34723,   -0.06334,   -0.44478,   -1.81142,Segment:  8
   1.01096,    0.53517,    0.21760,    0.37934,   -0.07995,   -0.50977,   -1.77368,Segment:  9
   1.07855,    0.54988,    0.35842,    0.41075,   -0.09886,   -0.57325,   -1.68007,Segment:  10
   1.14534,    0.57382,    0.50994,    0.44164,   -0.12017,   -0.63383,   -1.54280,Segment:  11
   1.21091,    0.60726,    0.67767,    0.47217,   -0.14400,   -0.69043,   -1.37758,Segment:  12
   1.27489,    0.65061,    0.86816,    0.50250,   -0.17043,   -0.74228,   -1.20011,Segment:  13
   1.33694,    0.70449,    0.91440,    0.53279,   -0.19959,   -0.78898,   -1.02357,Segment:  14
   1.39724,    0.75962,    0.91440,    0.56322,   -0.23157,   -0.83042,   -0.85739,Segment:  15
   1.51479,    0.86710,    0.91440,    0.62512,   -0.30443,   -0.89810,   -0.57561,Segment:  16
   1.63103,    0.97340,    0.91440,    0.68953,   -0.38985,   -0.94773,   -0.36809,Segment:  17
   1.74797,    1.08032,    0.91440,    0.75774,   -0.48866,   -0.98259,   -0.22467,Segment:  18
   1.80707,    1.13437,    0.15284,    0.79369,   -0.54336,   -0.99550,   -0.17194,Segment:  19
   1.86793,    1.14367,   -0.91440,    0.83109,   -0.60172,   -1.00587,   -0.12925,Segment:  20
   1.93381,    1.08343,   -0.91440,    0.87010,   -0.66385,   -1.01403,   -0.09487,Segment:  21
   2.00773,    1.01584,   -0.91440,    0.91088,   -0.72986,   -1.02027,   -0.06733,Segment:  22
   2.09162,    0.93913,   -0.91440,    0.95361,   -0.79985,   -1.02485,   -0.04537,Segment:  23
   2.18837,    0.85066,   -0.91440,    0.99844,   -0.87392,   -1.02799,   -0.02796,Segment:  24
   2.30278,    0.74604,   -0.91440,    1.04554,   -0.95218,   -1.02989,   -0.01423,Segment:  25
   2.44407,    0.61685,   -0.91440,    1.09507,   -1.03474,   -1.03071,   -0.00349,Segment:  26
   2.63563,    0.44169,   -0.91440,    1.14720,   -1.12170,   -1.03062,    0.00486,Segment:  27
   3.11866,    0.00000,   -0.91440,    1.20210,   -1.21316,   -1.02974,    0.01127,Segment:  28
#======= TRAJECTORY END: 2 piece -right of speaker - move 1 - forward
