#======= TRAJECTORY BEGIN: 2 piece - right of speaker - move 2  - Reverse
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    14.174       3.737       3.142       0.000       0.000       0.000       3.000
#--------Waypoint:    15.838       4.177      -2.094      -1.665      -0.440       1.047       1.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  TRUE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,   -0.00000,   -0.91440,    0.00000,    0.00000,   -0.00000,   -0.06219,Segment:  1
   0.44904,   -0.41061,   -0.91440,   -0.09219,   -0.00028,    0.00619,   -0.07242,Segment:  2
   0.62971,   -0.57581,   -0.91440,   -0.18129,   -0.00113,    0.01315,   -0.08409,Segment:  3
   0.76473,   -0.69927,   -0.91440,   -0.26736,   -0.00259,    0.02095,   -0.09741,Segment:  4
   0.87554,   -0.80060,   -0.91440,   -0.35044,   -0.00469,    0.02966,   -0.11261,Segment:  5
   0.97055,   -0.88747,   -0.91440,   -0.43058,   -0.00744,    0.03936,   -0.12999,Segment:  6
   1.05409,   -0.96386,   -0.91440,   -0.50783,   -0.01089,    0.05016,   -0.14985,Segment:  7
   1.12876,   -1.03214,   -0.91440,   -0.58224,   -0.01507,    0.06215,   -0.17255,Segment:  8
   1.19630,   -1.09389,   -0.91440,   -0.65386,   -0.01999,    0.07544,   -0.19851,Segment:  9
   1.25790,   -1.15022,   -0.91440,   -0.72274,   -0.02569,    0.09016,   -0.22817,Segment:  10
   1.31445,   -1.20193,    0.18945,   -0.78893,   -0.03221,    0.10643,   -0.26206,Segment:  11
   1.41972,   -1.18199,    0.91440,   -0.91344,   -0.04779,    0.14421,   -0.34477,Segment:  12
   1.52184,   -1.08861,    0.91440,   -1.02778,   -0.06695,    0.19003,   -0.45149,Segment:  13
   1.62463,   -0.99462,    0.91440,   -1.13235,   -0.08995,    0.24526,   -0.58697,Segment:  14
   1.72915,   -0.89905,    0.91244,   -1.22754,   -0.11700,    0.31127,   -0.75419,Segment:  15
   1.83710,   -0.80055,    0.74290,   -1.31375,   -0.14834,    0.38920,   -0.95119,Segment:  16
   1.89285,   -0.75913,    0.63903,   -1.35362,   -0.16570,    0.43285,   -1.05782,Segment:  17
   1.94962,   -0.72286,    0.54021,   -1.39139,   -0.18422,    0.47962,   -1.16665,Segment:  18
   2.00730,   -0.69170,    0.44556,   -1.42711,   -0.20393,    0.52942,   -1.27413,Segment:  19
   2.06578,   -0.66564,    0.35429,   -1.46083,   -0.22485,    0.58203,   -1.37585,Segment:  20
   2.12493,   -0.64468,    0.26564,   -1.49261,   -0.24703,    0.63715,   -1.46674,Segment:  21
   2.18458,   -0.62884,    0.76906,   -1.52249,   -0.27049,    0.69435,   -1.54160,Segment:  22
   2.24640,   -0.58130,    0.91440,   -1.55052,   -0.29525,    0.75310,   -1.59558,Segment:  23
   2.31361,   -0.51984,    0.91440,   -1.57675,   -0.32135,    0.81278,   -1.62493,Segment:  24
   2.38945,   -0.45049,    0.91440,   -1.60124,   -0.34881,    0.87270,   -1.62750,Segment:  25
   2.47926,   -0.36837,    0.91440,   -1.62402,   -0.37767,    0.93219,   -1.60311,Segment:  26
   2.59661,   -0.26107,    0.91440,   -1.64516,   -0.40796,    0.99056,   -1.55360,Segment:  27
   2.88211,   -0.00000,    0.91440,   -1.66469,   -0.43970,    1.04720,   -1.48246,Segment:  28
#======= TRAJECTORY END: 2 piece - right of speaker - move 2  - Reverse
