#======= TRAJECTORY BEGIN: red speaker 2 piece left side forward
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    15.960       6.611      -0.785       0.000       0.000       0.000       0.010
#--------Waypoint:    15.537       6.938       0.419      -0.530      -0.067       1.204       0.010
#--------Waypoint:    14.308       6.958       0.000      -1.413      -0.923       0.785       0.010
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.96240  m/s
#--------Maximum Acceleration:      2.13360  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.96240  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.15240  m
#--------Module   1 Y:             -0.15240  m
#--------Module   2 X:              0.15240  m
#--------Module   2 Y:              0.15240  m
#--------Module   3 X:             -0.15240  m
#--------Module   3 Y:              0.15240  m
#--------Module   4 X:             -0.15240  m
#--------Module   4 Y:             -0.15240  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.26631,    0.00000,    0.00000,    0.00000, 9849.03078,Segment:  1
   0.00598,    0.00159,   -0.07668,    0.00000,    0.00000,    0.05072, 11549.37105,Segment:  2
   0.00903,    0.00136,   -0.05820,    0.00001,    0.00000,    0.10710, 13545.14800,Segment:  3
   0.01243,    0.00116,   -0.04361,    0.00001,    0.00000,    0.16974, 15854.55444,Segment:  4
   0.01619,    0.00100,   -0.03219,    0.00002,    0.00000,    0.23917, 18469.39600,Segment:  5
   0.02034,    0.00086,   -0.02333,    0.00002,    0.00000,    0.31581, 21336.66256,Segment:  6
   0.02489,    0.00076,   -0.01795,    0.00002,    0.00000,    0.39982, 24338.05185,Segment:  7
   0.02732,    0.00071,   -0.01493,    0.00003,    0.00000,    0.44453, 25830.29368,Segment:  8
   0.02985,    0.00067,   -0.01226,    0.00003,    0.00001,    0.49097, 27275.33389,Segment:  9
   0.03246,    0.00064,   -0.00988,    0.00003,    0.00001,    0.53903, 28636.60283,Segment:  10
   0.03515,    0.00062,   -0.00774,    0.00003,    0.00001,    0.58855, 29874.83763,Segment:  11
   0.03791,    0.00059,   -0.00578,    0.00003,    0.00001,    0.63938, 30950.15388,Segment:  12
   0.04074,    0.00058,   -0.00398,    0.00003,    0.00001,    0.69127, 31824.61963,Segment:  13
   0.04360,    0.00057,   -0.00227,    0.00003,    0.00001,    0.74400, 32465.09627,Segment:  14
   0.04650,    0.00056,   -0.00062,    0.00004,    0.00001,    0.79727, 32846.00767,Segment:  15
   0.04941,    0.00056,    0.00102,    0.00004,    0.00001,    0.85080, 32951.64813,Segment:  16
   0.05231,    0.00056,    0.00268,    0.00004,    0.00001,    0.90429, 32777.66878,Segment:  17
   0.05520,    0.00057,    0.00441,    0.00004,    0.00002,    0.95744, 32331.49523,Segment:  18
   0.05806,    0.00058,    0.00624,    0.00004,    0.00002,    1.00995, 31631.60526,Segment:  19
   0.06086,    0.00060,    0.00824,    0.00004,    0.00002,    1.06156, 30705.79027,Segment:  20
   0.06360,    0.00062,    0.01043,    0.00004,    0.00002,    1.11203, 29588.68621,Segment:  21
