#======= TRAJECTORY BEGIN: right side 2 piece start
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    15.864       4.452       0.785       0.000       0.000       0.000       0.010
#--------Waypoint:    15.326       4.144       0.419      -0.598       0.162      -0.367       0.010
#--------Waypoint:    13.982       4.105       0.000      -1.576       1.086      -0.785       0.010
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.96240  m/s
#--------Maximum Acceleration:      2.13360  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.96240  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.15240  m
#--------Module   1 Y:             -0.15240  m
#--------Module   2 X:              0.15240  m
#--------Module   2 Y:              0.15240  m
#--------Module   3 X:             -0.15240  m
#--------Module   3 Y:              0.15240  m
#--------Module   4 X:             -0.15240  m
#--------Module   4 Y:             -0.15240  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.19813,    0.00000,    0.00000,    0.00000, -6586.86984,Segment:  1
   0.00962,    0.00191,   -0.14599,    0.00001,   -0.00000,   -0.07303, -9639.14725,Segment:  2
   0.01202,    0.00156,   -0.10758,    0.00001,   -0.00000,   -0.11733, -11808.82396,Segment:  3
   0.01477,    0.00126,   -0.07778,    0.00002,   -0.00000,   -0.16816, -14581.75003,Segment:  4
   0.01794,    0.00101,   -0.05511,    0.00002,   -0.00000,   -0.22676, -18127.94543,Segment:  5
   0.02161,    0.00081,   -0.03821,    0.00002,   -0.00000,   -0.29461, -22640.30442,Segment:  6
   0.02585,    0.00065,   -0.02842,    0.00003,   -0.00000,   -0.37329, -28301.76074,Segment:  7
   0.02824,    0.00058,   -0.02324,    0.00003,   -0.00000,   -0.41722, -31599.85434,Segment:  8
   0.03080,    0.00052,   -0.01887,    0.00003,   -0.00000,   -0.46445, -35206.69092,Segment:  9
   0.03356,    0.00047,   -0.01520,    0.00003,   -0.00001,   -0.51515, -39096.01794,Segment:  10
   0.03650,    0.00043,   -0.01214,    0.00003,   -0.00001,   -0.56942, -43213.76941,Segment:  11
   0.03965,    0.00039,   -0.00957,    0.00003,   -0.00001,   -0.62732, -47471.08724,Segment:  12
   0.04298,    0.00036,   -0.00742,    0.00003,   -0.00001,   -0.68879, -51739.35089,Segment:  13
   0.04651,    0.00033,   -0.00561,    0.00003,   -0.00001,   -0.75368, -55849.66889,Segment:  14
   0.05020,    0.00031,   -0.00406,    0.00004,   -0.00001,   -0.82170, -59599.51513,Segment:  15
   0.05404,    0.00029,   -0.00270,    0.00004,   -0.00001,   -0.89242, -62768.43372,Segment:  16
   0.05800,    0.00028,   -0.00147,    0.00004,   -0.00001,   -0.96526, -65142.62146,Segment:  17
   0.06203,    0.00028,   -0.00032,    0.00004,   -0.00001,   -1.03952, -66544.97769,Segment:  18
   0.06610,    0.00027,    0.00081,    0.00004,   -0.00001,   -1.11443, -66864.05090,Segment:  19
   0.07016,    0.00028,    0.00198,    0.00004,   -0.00001,   -1.18915, -66073.97228,Segment:  20
   0.07416,    0.00029,    0.00326,    0.00004,   -0.00002,   -1.26288, -64239.24673,Segment:  21
   0.07807,    0.00030,    0.00469,    0.00004,   -0.00002,   -1.33486, -61502.85922,Segment:  22
   0.08185,    0.00032,    0.00634,    0.00004,   -0.00002,   -1.40444, -58061.48766,Segment:  23
   0.08547,    0.00034,    0.00829,    0.00004,   -0.00002,   -1.47112, -54135.13677,Segment:  24
   0.08891,    0.00037,    0.01060,    0.00004,   -0.00002,   -1.53453, -49938.84726,Segment:  25
   0.09216,    0.00040,    0.01336,    0.00004,   -0.00002,   -1.59444, -45661.78205,Segment:  26
   0.09522,    0.00044,    0.01667,    0.00004,   -0.00002,   -1.65073, -41455.61005,Segment:  27
   0.09808,    0.00049,    0.02061,    0.00004,   -0.00002,   -1.70342, -37431.28647,Segment:  28
   0.10075,    0.00055,    0.02529,    0.00004,   -0.00003,   -1.75257, -33661.82474,Segment:  29
   0.10323,    0.00061,    0.03084,    0.00004,   -0.00003,   -1.79831, -30188.39121,Segment:  30
   0.10554,    0.00068,    0.04128,    0.00004,   -0.00003,   -1.84083, -27027.54571,Segment:  31
   0.10965,    0.00085,    0.05921,    0.00004,   -0.00003,   -1.91698, -21627.54384,Segment:  32
   0.11320,    0.00106,    0.08314,    0.00004,   -0.00003,   -1.98265, -17339.20611,Segment:  33
   0.11627,    0.00132,    0.11443,    0.00003,   -0.00004,   -2.03942, -13973.44764,Segment:  34
   0.11894,    0.00162,    0.15457,    0.00003,   -0.00004,   -2.08871, -11341.16163,Segment:  35
   0.12127,    0.00198,    0.23763,    0.00003,   -0.00004,   -2.13171, -9279.30544,Segment:  36
   0.12507,    0.00288,    0.39277,    0.00003,   -0.00005,   -2.20276, -6371.53807,Segment:  37
   0.12807,    0.00406,    0.77848,    0.00002,   -0.00006,   -2.25869, -4521.15352,Segment:  38
   0.13235,    0.00740,    1.61362,    0.00000,   -0.00008,   -2.34054, -2482.68375,Segment:  39
   0.13536,    0.01225,    2.13360,   -0.00002,   -0.00010,   -2.39729, -1497.73918,Segment:  40
   0.13771,    0.01725,    2.13360,   -0.00004,   -0.00012,   -2.43894, -971.55850,Segment:  41
   0.14165,    0.02567,    2.13360,   -0.00011,   -0.00017,   -2.49621, -479.19726,Segment:  42
   0.14864,    0.04058,    2.13360,   -0.00030,   -0.00031,   -2.56163, -174.42423,Segment:  43
   0.16169,    0.06842,    2.13360,   -0.00091,   -0.00067,   -2.62621,  -52.12690,Segment:  44
   0.17437,    0.09548,    2.13360,   -0.00183,   -0.00117,   -2.66347,  -25.95460,Segment:  45
   0.19933,    0.14872,    2.13360,   -0.00457,   -0.00249,   -2.71486,  -12.06433,Segment:  46
   0.22395,    0.20126,    2.13360,   -0.00853,   -0.00419,   -2.75624,   -7.95846,Segment:  47
   0.27248,    0.30481,    2.13360,   -0.02009,   -0.00834,   -2.83139,   -5.00991,Segment:  48
   0.32027,    0.40677,    2.13360,   -0.03647,   -0.01290,   -2.90480,   -3.81226,Segment:  49
   0.36750,    0.50755,    2.13360,   -0.05764,   -0.01716,   -2.97898,   -3.13192,Segment:  50
   0.41437,    0.60755,    2.13360,   -0.08357,   -0.02039,   -3.05429,   -2.66748,Segment:  51
   0.46108,    0.70719,    2.13360,   -0.11423,   -0.02188,   -3.13039,   -2.31063,Segment:  52
   0.50781,    0.80691,    2.13360,   -0.14960,   -0.02089,    3.07652,   -2.01442,Segment:  53
   0.55479,    0.90713,    2.13360,   -0.18964,   -0.01672,    3.00081,   -1.75688,Segment:  54
   0.60220,    1.00830,    2.13360,   -0.23433,   -0.00864,    2.92641,   -1.52767,Segment:  55
   0.65025,    1.11081,    2.13360,   -0.28363,    0.00406,    2.85405,   -1.32213,Segment:  56
   0.69911,    1.21507,    2.13360,   -0.33751,    0.02211,    2.78432,   -1.13827,Segment:  57
   0.74896,    1.32143,    2.13360,   -0.39595,    0.04624,    2.71770,   -0.97510,Segment:  58
   0.79994,    1.43021,    2.13360,   -0.45891,    0.07714,    2.65452,   -0.83176,Segment:  59
   0.85219,    1.54167,    2.13360,   -0.52637,    0.11556,    2.59497,   -0.70714,Segment:  60
   0.90581,    1.65607,    2.13360,   -0.59830,    0.16220,    2.53914,   -0.59985,Segment:  61
   0.96068,    1.77315,    2.13360,   -0.67448,    0.21742,    2.49262,   -0.40911,Segment:  62
   1.01592,    1.89100,    2.13360,   -0.75396,    0.28006,    2.45747,   -0.29579,Segment:  63
