#======= TRAJECTORY BEGIN: blue- moves from center speaker to left note 
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     1.308       5.531      -0.000       0.000       0.000       0.000       1.500
#--------Waypoint:     2.708       6.765       1.047       1.400       1.233       1.047       1.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    0.00000,    0.00000,    0.00000,    2.13440,Segment:  1
   0.22697,    0.20754,    0.91440,    0.02355,    0.00058,    0.04897,    2.02286,Segment:  2
   0.32187,    0.29432,    0.91440,    0.04730,    0.00231,    0.09578,    1.90768,Segment:  3
   0.45804,    0.41883,    0.91440,    0.09537,    0.00909,    0.18278,    1.67715,Segment:  4
   0.56492,    0.51656,    0.91440,    0.14412,    0.02014,    0.26109,    1.45921,Segment:  5
   0.65724,    0.60098,    0.91440,    0.19345,    0.03524,    0.33118,    1.26277,Segment:  6
   0.74061,    0.67721,    0.91440,    0.24326,    0.05417,    0.39376,    1.09115,Segment:  7
   0.81782,    0.74781,    0.91440,    0.29344,    0.07672,    0.44962,    0.94418,Segment:  8
   0.89046,    0.81424,    0.91440,    0.34389,    0.10268,    0.49956,    0.81987,Segment:  9
   0.95953,    0.87740,    0.91440,    0.39451,    0.13183,    0.54430,    0.71547,Segment:  10
   1.08927,    0.99603,    0.91440,    0.49589,    0.19885,    0.62086,    0.55503,Segment:  11
   1.15069,    1.05219,    0.91440,    0.54643,    0.23630,    0.65379,    0.49396,Segment:  12
   1.21012,    1.10653,    0.91440,    0.59674,    0.27609,    0.68378,    0.44287,Segment:  13
   1.26770,    1.15918,    0.91440,    0.64673,    0.31799,    0.71123,    0.40008,Segment:  14
   1.32353,    1.21024,    0.91440,    0.69628,    0.36181,    0.73647,    0.36424,Segment:  15
   1.37770,    1.25977,    0.91440,    0.74531,    0.40733,    0.75981,    0.33426,Segment:  16
   1.43025,    1.30782,   -0.18071,    0.79370,    0.45433,    0.78148,    0.30924,Segment:  17
   1.48230,    1.29841,   -0.91440,    0.84136,    0.50259,    0.80173,    0.28849,Segment:  18
   1.53568,    1.24960,   -0.91440,    0.88818,    0.55191,    0.82076,    0.27146,Segment:  19
   1.59122,    1.19882,   -0.91440,    0.93407,    0.60207,    0.83873,    0.25773,Segment:  20
   1.64901,    1.14596,   -0.91440,    0.97893,    0.65286,    0.85581,    0.24699,Segment:  21
   1.70921,    1.09092,   -0.91440,    1.02266,    0.70407,    0.87216,    0.23905,Segment:  22
   1.77200,    1.03351,   -0.91440,    1.06514,    0.75547,    0.88791,    0.23382,Segment:  23
   1.83760,    0.97352,   -0.91440,    1.10629,    0.80685,    0.90321,    0.23129,Segment:  24
   1.90634,    0.91066,   -0.91440,    1.14601,    0.85801,    0.91818,    0.23160,Segment:  25
   2.05523,    0.77452,   -0.91440,    1.22072,    0.95879,    0.94773,    0.24196,Segment:  26
   2.22541,    0.61891,   -0.91440,    1.28847,    1.05609,    0.97783,    0.26957,Segment:  27
   2.43569,    0.42663,   -0.91440,    1.34847,    1.14820,    1.01015,    0.32518,Segment:  28
   2.90226,    0.00000,   -0.91440,    1.39990,    1.23341,    1.04720,    0.43367,Segment:  29
#======= TRAJECTORY END: blue- moves from center speaker to left note 
