#======= TRAJECTORY BEGIN: blue- moves from left note to center speaker 
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     2.708       6.765       1.047       0.000       0.000       0.000       1.500
#--------Waypoint:     1.384       5.531       0.000      -1.730       0.530      -1.047       1.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  TRUE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,   -0.00000,   -0.91440,    0.00000,    0.00000,    0.00000,    0.25768,Segment:  1
   0.46554,   -0.42569,   -0.91440,   -0.09908,    0.00119,   -0.02343,    0.22065,Segment:  2
   0.67403,   -0.61633,   -0.91440,   -0.20764,    0.00500,   -0.04639,    0.20476,Segment:  3
   0.84204,   -0.76997,   -0.91440,   -0.32390,    0.01177,   -0.06995,    0.20169,Segment:  4
   0.98854,   -0.90392,   -0.91440,   -0.44610,    0.02186,   -0.09499,    0.20809,Segment:  5
   1.05604,   -0.96564,   -0.91440,   -0.50887,    0.02826,   -0.10831,    0.21447,Segment:  6
   1.12037,   -1.02447,   -0.91440,   -0.57245,    0.03563,   -0.12230,    0.22297,Segment:  7
   1.18187,   -1.08070,   -0.91440,   -0.63664,    0.04399,   -0.13707,    0.23370,Segment:  8
   1.24077,   -1.13456,   -0.91440,   -0.70120,    0.05341,   -0.15273,    0.24683,Segment:  9
   1.29727,   -1.18622,   -0.91440,   -0.76591,    0.06392,   -0.16941,    0.26260,Segment:  10
   1.35151,   -1.23582,   -0.91440,   -0.83056,    0.07556,   -0.18726,    0.28136,Segment:  11
   1.40361,   -1.28346,   -0.05044,   -0.89492,    0.08839,   -0.20643,    0.30353,Segment:  12
   1.45449,   -1.28602,    0.91440,   -0.95876,    0.10244,   -0.22711,    0.32964,Segment:  13
   1.50593,   -1.23898,    0.91440,   -1.02188,    0.11776,   -0.24948,    0.36037,Segment:  14
   1.55890,   -1.19055,    0.91440,   -1.08404,    0.13439,   -0.27380,    0.39651,Segment:  15
   1.66964,   -1.08929,    0.91440,   -1.20461,    0.17177,   -0.32937,    0.48925,Segment:  16
   1.78745,   -0.98156,    0.91440,   -1.31870,    0.21493,   -0.39645,    0.61844,Segment:  17
   1.91385,   -0.86599,    0.91440,   -1.42455,    0.26421,   -0.47854,    0.79852,Segment:  18
   1.98115,   -0.80445,    0.91440,   -1.47383,    0.29126,   -0.52655,    0.91297,Segment:  19
   2.05199,   -0.73967,    0.91440,   -1.52038,    0.31997,   -0.58003,    1.04640,Segment:  20
   2.12738,   -0.67073,    0.91440,   -1.56398,    0.35039,   -0.63964,    1.20003,Segment:  21
   2.20896,   -0.59614,    0.91440,   -1.60442,    0.38256,   -0.70604,    1.37353,Segment:  22
   2.29956,   -0.51329,    0.91440,   -1.64146,    0.41653,   -0.77979,    1.56379,Segment:  23
   2.40487,   -0.41700,    0.91440,   -1.67489,    0.45234,   -0.86127,    1.76351,Segment:  24
   2.46684,   -0.36034,    0.91440,   -1.69018,    0.47094,   -0.90495,    1.86315,Segment:  25
   2.53977,   -0.29364,    0.91440,   -1.70449,    0.49003,   -0.95055,    1.95990,Segment:  26
   2.63420,   -0.20730,    0.91440,   -1.71778,    0.50959,   -0.99800,    2.05124,Segment:  27
   2.86090,   -0.00000,    0.91440,   -1.73002,    0.52964,   -1.04720,    2.13443,Segment:  28
#======= TRAJECTORY END: blue- moves from left note to center speaker 
