#======= TRAJECTORY BEGIN: 2 piece - right of speaker - move 2  - Reverse
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     0.595       4.075      -1.047       0.000       0.000       0.000       3.000
#--------Waypoint:     4.494       1.272       2.094       4.377       1.975       3.142       1.200
#--------Waypoint:     8.066       2.428       0.000       5.162       5.647       1.047       3.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.63500,    0.00000,    0.00000,    0.00000,    0.51980,Segment:  1
   0.55548,    0.35273,    0.63500,    0.09794,    0.00227,    0.04442,    0.39700,Segment:  2
   0.80184,    0.50917,    0.63500,    0.20389,    0.00905,    0.08184,    0.31408,Segment:  3
   1.00095,    0.63560,    0.63500,    0.31731,    0.02026,    0.11412,    0.25635,Segment:  4
   1.17645,    0.74705,    0.63500,    0.43763,    0.03584,    0.14256,    0.21515,Segment:  5
   1.25832,    0.79903,    0.63500,    0.50022,    0.04524,    0.15565,    0.19899,Segment:  6
   1.33714,    0.84909,    0.63500,    0.56432,    0.05572,    0.16811,    0.18513,Segment:  7
   1.41336,    0.89749,    0.63500,    0.62988,    0.06725,    0.18003,    0.17322,Segment:  8
   1.48732,    0.94445,    0.63500,    0.69682,    0.07983,    0.19147,    0.16295,Segment:  9
   1.55928,    0.99014,    0.63500,    0.76507,    0.09346,    0.20249,    0.15408,Segment:  10
   1.62944,    1.03469,    0.63500,    0.83457,    0.10812,    0.21315,    0.14641,Segment:  11
   1.69796,    1.07821,    0.63500,    0.90525,    0.12380,    0.22351,    0.13978,Segment:  12
   1.76500,    1.12077,    0.63500,    0.97704,    0.14050,    0.23359,    0.13405,Segment:  13
   1.83065,    1.16246,    0.63500,    1.04987,    0.15821,    0.24345,    0.12911,Segment:  14
   1.89501,    1.20333,    0.63500,    1.12366,    0.17692,    0.25311,    0.12487,Segment:  15
   1.95816,    1.24343,    0.63500,    1.19836,    0.19662,    0.26262,    0.12125,Segment:  16
   2.02016,    1.28280,    0.63500,    1.27389,    0.21731,    0.27199,    0.11818,Segment:  17
   2.08107,    1.32148,    0.63500,    1.35019,    0.23897,    0.28126,    0.11562,Segment:  18
   2.14093,    1.35949,    0.63500,    1.42718,    0.26160,    0.29045,    0.11352,Segment:  19
   2.19979,    1.39687,    0.63500,    1.50479,    0.28519,    0.29958,    0.11183,Segment:  20
