#======= TRAJECTORY BEGIN: 2 piece - right of speaker - move 2  - Reverse
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     2.285       3.915       0.000       0.000       0.000       0.000       3.000
#--------Waypoint:     0.595       4.075      -1.047      -1.690       0.160      -1.047       1.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  TRUE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,   -0.00000,   -0.63500,    0.00000,    0.00000,    0.00000,   -0.12407,Segment:  1
   0.53907,   -0.34231,   -0.63500,   -0.09226,   -0.00052,    0.01129,   -0.12037,Segment:  2
   0.75627,   -0.48023,   -0.63500,   -0.18158,   -0.00201,    0.02183,   -0.11533,Segment:  3
   0.91880,   -0.58344,   -0.63500,   -0.26799,   -0.00432,    0.03152,   -0.10873,Segment:  4
   1.05237,   -0.66826,   -0.63500,   -0.35153,   -0.00732,    0.04028,   -0.10030,Segment:  5
   1.16703,   -0.74106,   -0.63500,   -0.43224,   -0.01089,    0.04797,   -0.08972,Segment:  6
   1.26796,   -0.80515,   -0.63500,   -0.51017,   -0.01489,    0.05448,   -0.07658,Segment:  7
   1.35827,   -0.86250,   -0.63500,   -0.58535,   -0.01919,    0.05966,   -0.06042,Segment:  8
   1.44000,   -0.91440,   -0.63500,   -0.65783,   -0.02367,    0.06336,   -0.04065,Segment:  9
   1.51457,   -0.96175,   -0.63500,   -0.72764,   -0.02818,    0.06539,   -0.01656,Segment:  10
   1.58303,   -1.00523,   -0.00913,   -0.79482,   -0.03259,    0.06556,    0.01273,Segment:  11
   1.70921,   -1.00638,    0.63500,   -0.92147,   -0.04062,    0.05934,    0.09143,Segment:  12
   1.82985,   -0.92977,    0.63500,   -1.03811,   -0.04669,    0.04242,    0.20732,Segment:  13
   1.94983,   -0.85358,    0.63500,   -1.14505,   -0.04975,    0.01184,    0.37798,Segment:  14
   2.06945,   -0.77762,    0.63500,   -1.24261,   -0.04876,   -0.03629,    0.62808,Segment:  15
   2.18942,   -0.70144,    0.63500,   -1.33112,   -0.04265,   -0.10679,    0.98713,Segment:  16
   2.24996,   -0.66300,    0.63500,   -1.37208,   -0.03735,   -0.15212,    1.21509,Segment:  17
   2.31125,   -0.62408,    0.63500,   -1.41089,   -0.03038,   -0.20504,    1.47540,Segment:  18
   2.37372,   -0.58441,    0.63500,   -1.44761,   -0.02160,   -0.26606,    1.76242,Segment:  19
   2.43803,   -0.54357,    0.52302,   -1.48226,   -0.01089,   -0.33541,    2.06314,Segment:  20
   2.50464,   -0.50874,    0.36801,   -1.51490,    0.00189,   -0.41289,    2.35536,Segment:  21
   2.57341,   -0.48343,    0.25905,   -1.54555,    0.01687,   -0.49773,    2.60843,Segment:  22
   2.60853,   -0.47433,    0.18946,   -1.56014,    0.02523,   -0.54248,    2.70944,Segment:  23
   2.64402,   -0.46761,    0.61201,   -1.57426,    0.03418,   -0.58846,    2.78792,Segment:  24
   2.68052,   -0.44527,    0.63500,   -1.58789,    0.04375,   -0.63539,    2.84047,Segment:  25
   2.71899,   -0.42084,    0.63500,   -1.60106,    0.05395,   -0.68296,    2.86467,Segment:  26
   2.75996,   -0.39483,    0.63500,   -1.61377,    0.06480,   -0.73082,    2.85935,Segment:  27
   2.80409,   -0.36680,    0.63500,   -1.62601,    0.07632,   -0.77863,    2.82471,Segment:  28
   2.85235,   -0.33615,    0.63500,   -1.63780,    0.08852,   -0.82606,    2.76231,Segment:  29
   2.90617,   -0.30198,    0.63500,   -1.64914,    0.10141,   -0.87278,    2.67490,Segment:  30
   2.96790,   -0.26278,    0.63500,   -1.66003,    0.11502,   -0.91849,    2.56621,Segment:  31
   3.04208,   -0.21568,    0.63500,   -1.67048,    0.12936,   -0.96293,    2.44051,Segment:  32
   3.38173,   -0.00000,    0.63500,   -1.69009,    0.16030,   -1.04720,    2.15619,Segment:  33
#======= TRAJECTORY END: 2 piece - right of speaker - move 2  - Reverse
