#======= TRAJECTORY BEGIN: from speaker center to left note
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    15.151       5.531       3.142       0.000       0.000       0.000       1.500
#--------Waypoint:    13.809       6.996       2.094       1.342      -1.465      -1.047       1.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    0.00000,    0.00000,    0.00000,   -2.75131,Segment:  1
   0.22679,    0.20738,    0.91440,    0.02350,   -0.00075,   -0.06325,   -2.62372,Segment:  2
   0.32147,    0.29395,    0.91440,    0.04713,   -0.00297,   -0.12382,   -2.47709,Segment:  3
   0.39483,    0.36103,    0.91440,    0.07088,   -0.00663,   -0.18144,   -2.31869,Segment:  4
   0.45740,    0.41825,    0.91440,    0.09473,   -0.01169,   -0.23599,   -2.15505,Segment:  5
   0.51326,    0.46933,    0.91440,    0.11867,   -0.01811,   -0.28738,   -1.99156,Segment:  6
   0.56450,    0.51618,    0.91440,    0.14270,   -0.02586,   -0.33564,   -1.83235,Segment:  7
   0.61234,    0.55993,    0.91440,    0.16681,   -0.03489,   -0.38083,   -1.68037,Segment:  8
   0.65759,    0.60130,    0.91440,    0.19098,   -0.04518,   -0.42307,   -1.53753,Segment:  9
   0.74225,    0.67872,    0.91440,    0.23948,   -0.06935,   -0.49926,   -1.28284,Segment:  10
   0.82127,    0.75097,    0.91440,    0.28812,   -0.09807,   -0.56550,   -1.07002,Segment:  11
   0.89618,    0.81947,    0.91440,    0.33682,   -0.13104,   -0.62310,   -0.89544,Segment:  12
   0.96789,    0.88504,    0.91440,    0.38551,   -0.16798,   -0.67331,   -0.75352,Segment:  13
   1.03696,    0.94820,    0.91440,    0.43410,   -0.20856,   -0.71723,   -0.63847,Segment:  14
   1.10377,    1.00929,    0.91440,    0.48252,   -0.25251,   -0.75581,   -0.54510,Segment:  15
   1.16855,    1.06852,    0.91440,    0.53068,   -0.29952,   -0.78984,   -0.46905,Segment:  16
   1.23145,    1.12604,    0.91440,    0.57851,   -0.34928,   -0.81999,   -0.40677,Segment:  17
   1.29258,    1.18194,    0.91440,    0.62593,   -0.40151,   -0.84681,   -0.35546,Segment:  18
   1.35199,    1.23626,    0.91440,    0.67285,   -0.45591,   -0.87076,   -0.31290,Segment:  19
   1.40972,    1.28905,    0.91440,    0.71919,   -0.51217,   -0.89224,   -0.27736,Segment:  20
   1.46578,    1.34031,    0.11279,    0.76489,   -0.57000,   -0.91155,   -0.24747,Segment:  21
   1.52106,    1.34655,   -0.91440,    0.80985,   -0.62909,   -0.92895,   -0.22214,Segment:  22
   1.57750,    1.29493,   -0.91440,    0.85400,   -0.68916,   -0.94469,   -0.20051,Segment:  23
   1.63630,    1.24116,   -0.91440,    0.89726,   -0.74990,   -0.95893,   -0.18188,Segment:  24
   1.69756,    1.18515,   -0.91440,    0.93954,   -0.81101,   -0.97183,   -0.16570,Segment:  25
   1.76139,    1.12678,   -0.91440,    0.98078,   -0.87219,   -0.98352,   -0.15149,Segment:  26
   1.82795,    1.06592,   -0.91440,    1.02088,   -0.93315,   -0.99411,   -0.13884,Segment:  27
   1.89745,    1.00237,   -0.91440,    1.05978,   -0.99359,   -1.00367,   -0.12740,Segment:  28
   1.97018,    0.93587,   -0.91440,    1.09739,   -1.05321,   -1.01227,   -0.11683,Segment:  29
   2.04656,    0.86603,   -0.91440,    1.13362,   -1.11171,   -1.01997,   -0.10677,Segment:  30
   2.12717,    0.79231,   -0.91440,    1.16841,   -1.16878,   -1.02677,   -0.09685,Segment:  31
   2.30528,    0.62945,   -0.91440,    1.23333,   -1.27749,   -1.03774,   -0.07536,Segment:  32
   2.52264,    0.43070,   -0.91440,    1.29149,   -1.37695,   -1.04488,   -0.04584,Segment:  33
   2.99366,    0.00000,   -0.91440,    1.34227,   -1.46475,   -1.04720,    0.00786,Segment:  34
#======= TRAJECTORY END: from speaker center to left note
