#======= TRAJECTORY BEGIN: from left note to center speaker
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    13.809       6.996       2.094       0.000       0.000      -0.000       1.500
#--------Waypoint:    15.151       5.531       3.142      -1.940      -0.430       1.047       1.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  TRUE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,   -0.00000,   -0.91440,   -0.00000,    0.00000,   -0.00000,    0.00790,Segment:  1
   0.47102,   -0.43070,   -0.91440,   -0.10143,   -0.00007,    0.00232,   -0.04582,Segment:  2
   0.68837,   -0.62945,   -0.91440,   -0.21665,   -0.00072,    0.00946,   -0.07534,Segment:  3
   0.86648,   -0.79231,   -0.91440,   -0.34325,   -0.00258,    0.02042,   -0.09684,Segment:  4
   0.94710,   -0.86603,   -0.91440,   -0.41007,   -0.00417,    0.02722,   -0.10676,Segment:  5
   1.02348,   -0.93587,   -0.91440,   -0.47885,   -0.00630,    0.03492,   -0.11682,Segment:  6
   1.09621,   -1.00238,   -0.91440,   -0.54929,   -0.00906,    0.04352,   -0.12739,Segment:  7
   1.16571,   -1.06593,   -0.91440,   -0.62108,   -0.01253,    0.05308,   -0.13883,Segment:  8
   1.23227,   -1.12679,   -0.91440,   -0.69392,   -0.01678,    0.06367,   -0.15148,Segment:  9
   1.29610,   -1.18515,   -0.91440,   -0.76753,   -0.02190,    0.07536,   -0.16569,Segment:  10
   1.35735,   -1.24116,   -0.91440,   -0.84160,   -0.02796,    0.08826,   -0.18188,Segment:  11
   1.41616,   -1.29494,   -0.91440,   -0.91582,   -0.03506,    0.10250,   -0.20050,Segment:  12
   1.47260,   -1.34655,    0.11281,   -0.98992,   -0.04326,    0.11823,   -0.22214,Segment:  13
   1.52788,   -1.34031,    0.91440,   -1.06358,   -0.05265,    0.13564,   -0.24747,Segment:  14
   1.58394,   -1.28905,    0.91440,   -1.13651,   -0.06330,    0.15495,   -0.27736,Segment:  15
   1.64167,   -1.23626,    0.91440,   -1.20840,   -0.07531,    0.17642,   -0.31290,Segment:  16
   1.70108,   -1.18194,    0.91440,   -1.27897,   -0.08875,    0.20038,   -0.35546,Segment:  17
   1.76221,   -1.12604,    0.91440,   -1.34791,   -0.10369,    0.22720,   -0.40677,Segment:  18
   1.82511,   -1.06852,    0.91440,   -1.41492,   -0.12023,    0.25735,   -0.46905,Segment:  19
   1.88989,   -1.00929,    0.91440,   -1.47971,   -0.13843,    0.29138,   -0.54511,Segment:  20
   1.95670,   -0.94820,    0.91440,   -1.54198,   -0.15839,    0.32995,   -0.63848,Segment:  21
   2.02577,   -0.88503,    0.91440,   -1.60143,   -0.18018,    0.37388,   -0.75353,Segment:  22
   2.09748,   -0.81947,    0.91440,   -1.65776,   -0.20388,    0.42409,   -0.89545,Segment:  23
   2.17238,   -0.75097,    0.91440,   -1.71067,   -0.22957,    0.48169,   -1.07003,Segment:  24
   2.25141,   -0.67872,    0.91440,   -1.75986,   -0.25733,    0.54793,   -1.28286,Segment:  25
   2.33607,   -0.60130,    0.91440,   -1.80504,   -0.28725,    0.62412,   -1.53755,Segment:  26
   2.38131,   -0.55993,    0.91440,   -1.82603,   -0.30304,    0.66636,   -1.68040,Segment:  27
   2.42916,   -0.51618,    0.91440,   -1.84591,   -0.31940,    0.71155,   -1.83238,Segment:  28
   2.48040,   -0.46933,    0.91440,   -1.86463,   -0.33634,    0.75981,   -1.99159,Segment:  29
   2.53626,   -0.41825,    0.91440,   -1.88217,   -0.35386,    0.81121,   -2.15509,Segment:  30
   2.59883,   -0.36103,    0.91440,   -1.89847,   -0.37199,    0.86575,   -2.31873,Segment:  31
   2.67219,   -0.29395,    0.91440,   -1.91352,   -0.39072,    0.92338,   -2.47713,Segment:  32
   2.76687,   -0.20738,    0.91440,   -1.92726,   -0.41007,    0.98395,   -2.62376,Segment:  33
   2.99366,   -0.00000,    0.91440,   -1.93966,   -0.43005,    1.04720,   -2.75135,Segment:  34
#======= TRAJECTORY END: from left note to center speaker
