#======= TRAJECTORY BEGIN: 2 piece - center - move 2  - Reverse
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    14.135       5.531       3.142       0.000       0.000       0.000       0.100
#--------Waypoint:    15.037       5.531       3.142      -0.902      -0.000       0.000       0.100
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.76200  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  TRUE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.48260  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,   -0.00000,   -0.76200,    0.00000,    0.00000,   -0.00000,   -0.00000,Segment:  1
   0.41495,   -0.31619,   -0.76200,   -0.06560,    0.00000,    0.00000,   -0.00000,Segment:  2
   0.57850,   -0.44082,   -0.76200,   -0.12751,    0.00000,    0.00000,   -0.00000,Segment:  3
   0.79752,   -0.60771,   -0.76200,   -0.24233,    0.00000,    0.00000,   -0.00000,Segment:  4
   0.95668,   -0.72899,   -0.76200,   -0.34870,    0.00000,    0.00000,   -0.00000,Segment:  5
   1.08781,   -0.82891,    0.76200,   -0.45085,   -0.00000,    0.00000,   -0.00000,Segment:  6
   1.21894,   -0.72899,    0.76200,   -0.55300,   -0.00000,    0.00000,    0.00000,Segment:  7
   1.37810,   -0.60771,    0.76200,   -0.65937,   -0.00000,    0.00000,    0.00000,Segment:  8
   1.59712,   -0.44082,    0.76200,   -0.77419,   -0.00000,    0.00000,    0.00000,Segment:  9
   1.76067,   -0.31619,    0.76200,   -0.83610,   -0.00000,    0.00000,    0.00000,Segment:  10
   2.17562,   -0.00000,    0.76200,   -0.90170,   -0.00000,    0.00000,    0.00000,Segment:  11
#======= TRAJECTORY END: 2 piece - center - move 2  - Reverse
