#======= TRAJECTORY BEGIN: 2 piece - left of speaker - move 2  - Reverse
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     8.776       5.743       3.142       0.000       0.000       0.000       1.000
#--------Waypoint:    11.389       6.765       2.873      -2.613      -1.021      -0.269       0.200
#--------Waypoint:    15.151       5.531       3.142      -6.375       0.212       0.000       1.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  TRUE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,   -0.00000,   -0.63500,   -0.00000,    0.00000,   -0.00000,   -6.44684,Segment:  1
   0.15784,   -0.10023,   -0.63500,   -0.00791,   -0.00020,    0.04874,   -5.87959,Segment:  2
   0.22469,   -0.14268,   -0.63500,   -0.01601,   -0.00078,    0.09423,   -5.33407,Segment:  3
   0.32217,   -0.20458,   -0.63500,   -0.03277,   -0.00308,    0.17585,   -4.34076,Segment:  4
   0.40034,   -0.25422,   -0.63500,   -0.05030,   -0.00686,    0.24586,   -3.50022,Segment:  5
   0.46923,   -0.29796,   -0.63500,   -0.06860,   -0.01205,    0.30559,   -2.81112,Segment:  6
   0.53262,   -0.33821,   -0.63500,   -0.08766,   -0.01862,    0.35642,   -2.25592,Segment:  7
   0.59237,   -0.37615,   -0.63500,   -0.10749,   -0.02652,    0.39961,   -1.81220,Segment:  8
   0.70477,   -0.44753,   -0.63500,   -0.14945,   -0.04607,    0.46742,   -1.17542,Segment:  9
   0.91321,   -0.57989,   -0.63500,   -0.24264,   -0.09881,    0.55075,   -0.49379,Segment:  10
   1.10905,   -0.70424,   -0.63500,   -0.34824,   -0.16706,    0.59029,   -0.17921,Segment:  11
   1.20360,   -0.76428,   -0.63500,   -0.40573,   -0.20599,    0.59926,   -0.08500,Segment:  12
   1.29622,   -0.82310,   -0.63500,   -0.46634,   -0.24759,    0.60278,   -0.01446,Segment:  13
   1.38706,   -0.88079,   -0.63500,   -0.53010,   -0.29145,    0.60168,    0.04004,Segment:  14
   1.47621,   -0.93739,   -0.63500,   -0.59702,   -0.33718,    0.59661,    0.08345,Segment:  15
   1.56374,   -0.99298,   -0.63500,   -0.66709,   -0.38436,    0.58799,    0.11911,Segment:  16
   1.64971,   -1.04756,   -0.63500,   -0.74035,   -0.43259,    0.57618,    0.14926,Segment:  17
   1.73416,   -1.10119,   -0.63500,   -0.81678,   -0.48148,    0.56142,    0.17544,Segment:  18
   1.81714,   -1.15389,   -0.63500,   -0.89642,   -0.53061,    0.54389,    0.19876,Segment:  19
   1.89871,   -1.20568,   -0.63500,   -0.97925,   -0.57959,    0.52372,    0.21994,Segment:  20
   1.97891,   -1.25661,   -0.63500,   -1.06530,   -0.62801,    0.50103,    0.23950,Segment:  21
   2.05780,   -1.30670,   -0.63500,   -1.15458,   -0.67547,    0.47587,    0.25777,Segment:  22
