#======= TRAJECTORY BEGIN: TwoPiece-CenterOfSpeaker-Move2RNote
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    15.825       6.630       2.094       0.000      -0.000      -0.000       3.000
#--------Waypoint:    14.155       5.570      -0.017      -0.083       1.977      -2.112      -1.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.50800  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.63500,    0.00000,   -0.00000,   -0.00000,    1.08945,Segment:  1
   0.37743,    0.23967,    0.63500,    0.04521,    0.00119,    0.05413,    1.31339,Segment:  2
   0.52444,    0.33302,    0.63500,    0.08716,    0.00470,    0.11484,    1.58213,Segment:  3
   0.63126,    0.40085,    0.63500,    0.12593,    0.01047,    0.18285,    1.89890,Segment:  4
   0.71667,    0.45508,   -0.23793,    0.16160,    0.01844,    0.25871,    2.26215,Segment:  5
   0.79334,    0.43684,   -0.42293,    0.19427,    0.02853,    0.34276,    2.66203,Segment:  6
   0.83137,    0.42076,   -0.37678,    0.20951,    0.03435,    0.38786,    2.86947,Segment:  7
   0.86967,    0.40633,   -0.33093,    0.22402,    0.04068,    0.43494,    3.07685,Segment:  8
   0.90818,    0.39359,   -0.28539,    0.23783,    0.04750,    0.48390,    3.27934,Segment:  9
   0.94686,    0.38254,   -0.24013,    0.25094,    0.05482,    0.53459,    3.47136,Segment:  10
   0.98568,    0.37322,   -0.19515,    0.26336,    0.06262,    0.58682,    3.64691,Segment:  11
   1.02457,    0.36563,   -0.15043,    0.27511,    0.07089,    0.64035,    3.79987,Segment:  12
   1.06347,    0.35978,   -0.10596,    0.28619,    0.07962,    0.69489,    3.92450,Segment:  13
   1.10233,    0.35566,   -0.06173,    0.29662,    0.08881,    0.75012,    4.01589,Segment:  14
   1.14108,    0.35327,   -0.01770,    0.30641,    0.09845,    0.80571,    4.07046,Segment:  15
   1.17965,    0.35259,    0.02612,    0.31556,    0.10853,    0.86128,    4.08624,Segment:  16
   1.21799,    0.35359,    0.06977,    0.32409,    0.11904,    0.91649,    4.06313,Segment:  17
   1.25603,    0.35625,    0.11327,    0.33201,    0.12997,    0.97098,    4.00281,Segment:  18
   1.29370,    0.36051,    0.15665,    0.33933,    0.14132,    1.02443,    3.90860,Segment:  19
   1.33097,    0.36635,    0.19993,    0.34606,    0.15307,    1.07657,    3.78503,Segment:  20
   1.36777,    0.37371,    0.24314,    0.35222,    0.16522,    1.12714,    3.63744,Segment:  21
   1.40408,    0.38254,    0.28633,    0.35780,    0.17776,    1.17595,    3.47152,Segment:  22
   1.43984,    0.39278,    0.32952,    0.36283,    0.19068,    1.22285,    3.29287,Segment:  23
   1.47503,    0.40437,    0.39468,    0.36731,    0.20397,    1.26775,    3.10670,Segment:  24
   1.54355,    0.43142,    0.48173,    0.37469,    0.23164,    1.35129,    2.72942,Segment:  25
   1.60959,    0.46323,    0.56975,    0.38000,    0.26070,    1.42650,    2.36740,Segment:  26
   1.67309,    0.49941,    0.63500,    0.38336,    0.29108,    1.49370,    2.03681,Segment:  27
   1.73414,    0.53817,    0.63500,    0.38483,    0.32271,    1.55345,    1.74468,Segment:  28
   1.79308,    0.57560,    0.63500,    0.38450,    0.35554,    1.60645,    1.49197,Segment:  29
   1.85035,    0.61197,    0.63500,    0.38247,    0.38948,    1.65340,    1.27623,Segment:  30
   1.96091,    0.68217,    0.63500,    0.37364,    0.46047,    1.73185,    0.93892,Segment:  31
   2.06719,    0.74966,    0.63500,    0.35901,    0.53514,    1.79354,    0.69800,Segment:  32
   2.16982,    0.81483,    0.63500,    0.33929,    0.61296,    1.84217,    0.52408,Segment:  33
   2.26904,    0.87783,    0.63500,    0.31516,    0.69339,    1.88050,    0.39580,Segment:  34
   2.36491,    0.93871,    0.63500,    0.28732,    0.77590,    1.91052,    0.29843,Segment:  35
   2.45739,    0.99744,    0.63500,    0.25646,    0.85995,    1.93367,    0.22182,Segment:  36
   2.54640,    1.05396,    0.63500,    0.22328,    0.94500,    1.95096,    0.15886,Segment:  37
   2.63181,    1.10819,   -0.38254,    0.18846,    1.03052,    1.96306,    0.10433,Segment:  38
   2.71664,    1.07574,   -0.63500,    0.15271,    1.11597,    1.97038,    0.05406,Segment:  39
   2.80461,    1.01988,   -0.63500,    0.11670,    1.20082,    1.97308,    0.00433,Segment:  40
   2.89641,    0.96159,   -0.63500,    0.08114,    1.28453,    1.97111,   -0.04870,Segment:  41
   2.99194,    0.90092,   -0.63500,    0.04672,    1.36657,    1.96416,   -0.10961,Segment:  42
   3.09112,    0.83795,   -0.63500,    0.01412,    1.44640,    1.95162,   -0.18465,Segment:  43
   3.19386,    0.77271,   -0.63500,   -0.01595,    1.52348,    1.93250,   -0.28313,Segment:  44
   3.30014,    0.70522,   -0.63500,   -0.04280,    1.59728,    1.90526,   -0.41996,Segment:  45
   3.41001,    0.63545,   -0.63500,   -0.06575,    1.66727,    1.86754,   -0.62034,Segment:  46
   3.52372,    0.56325,   -0.63500,   -0.08409,    1.73290,    1.81569,   -0.92864,Segment:  47
   3.64190,    0.48820,   -0.63500,   -0.09715,    1.79365,    1.74408,   -1.42503,Segment:  48
   3.70313,    0.44932,   -0.63500,   -0.10147,    1.82202,    1.69828,   -1.78517,Segment:  49
   3.76623,    0.40925,   -0.63500,   -0.10421,    1.84897,    1.64392,   -2.25263,Segment:  50
   3.83184,    0.36759,   -0.63500,   -0.10528,    1.87443,    1.57919,   -2.85886,Segment:  51
   3.90102,    0.32366,   -0.63500,   -0.10460,    1.89833,    1.50198,   -3.63680,Segment:  52
   3.93753,    0.30048,   -0.63500,   -0.10357,    1.90968,    1.45797,   -4.09818,Segment:  53
   3.97581,    0.27617,   -0.63500,   -0.10207,    1.92061,    1.40999,   -4.60886,Segment:  54
   4.01643,    0.25038,   -0.63500,   -0.10009,    1.93112,    1.35777,   -5.16568,Segment:  55
   4.06033,    0.22250,   -0.63500,   -0.09761,    1.94120,    1.30110,   -5.76052,Segment:  56
   4.10906,    0.19156,   -0.63500,   -0.09463,    1.95084,    1.23988,   -6.37870,Segment:  57
   4.16571,    0.15558,   -0.63500,   -0.09114,    1.96003,    1.17410,   -6.99775,Segment:  58
   4.23826,    0.10951,   -0.63500,   -0.08712,    1.96877,    1.10393,   -7.58703,Segment:  59
   4.41072,    0.00000,   -0.63500,   -0.08256,    1.97704,    1.02974,   -8.10911,Segment:  60
#======= TRAJECTORY END: TwoPiece-CenterOfSpeaker-Move2RNote
