#======= TRAJECTORY BEGIN: 2 piece - left of speaker - move 2  - Reverse
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    14.308       6.977       3.142       0.000       0.000       0.000       3.000
#--------Waypoint:    15.883       6.533       2.094      -1.575       0.444      -1.047       1.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.30200  m/s
#--------Maximum Acceleration:      2.54000  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  TRUE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.30200  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,   -0.00000,   -2.54000,    0.00000,    0.00000,   -0.00000,    0.06539,Segment:  1
   0.26905,   -0.68339,   -2.54000,   -0.09193,    0.00029,   -0.00653,    0.07701,Segment:  2
   0.37677,   -0.95701,   -2.54000,   -0.18028,    0.00119,   -0.01391,    0.09046,Segment:  3
   0.45693,   -1.16060,   -2.54000,   -0.26514,    0.00271,   -0.02223,    0.10602,Segment:  4
   0.52243,   -1.32697,   -2.54000,   -0.34657,    0.00489,   -0.03157,    0.12402,Segment:  5
   0.57833,   -1.46897,   -2.54000,   -0.42468,    0.00776,   -0.04205,    0.14484,Segment:  6
   0.62728,   -1.59328,   -2.54000,   -0.49953,    0.01134,   -0.05378,    0.16891,Segment:  7
   0.67084,   -1.70393,   -2.54000,   -0.57121,    0.01565,   -0.06688,    0.19673,Segment:  8
   0.71006,   -1.80355,   -2.54000,   -0.63981,    0.02074,   -0.08148,    0.22883,Segment:  9
   0.74568,   -1.89403,   -2.54000,   -0.70541,    0.02662,   -0.09773,    0.26582,Segment:  10
   0.77825,   -1.97676,   -1.21241,   -0.76808,    0.03332,   -0.11579,    0.30835,Segment:  11
   0.83689,   -2.04785,    2.54000,   -0.88500,    0.04930,   -0.15797,    0.41268,Segment:  12
   0.89148,   -1.90919,    2.54000,   -0.99122,    0.06891,   -0.20941,    0.54690,Segment:  13
   0.94526,   -1.77259,    2.54000,   -1.08740,    0.09235,   -0.27144,    0.71394,Segment:  14
   0.99868,   -1.63691,    2.54000,   -1.17421,    0.11985,   -0.34513,    0.91107,Segment:  15
   1.05243,   -1.50039,    2.54000,   -1.25230,    0.15163,   -0.43083,    1.12490,Segment:  16
   1.07975,   -1.43099,    2.54000,   -1.28829,    0.16919,   -0.47799,    1.22994,Segment:  17
   1.10759,   -1.36027,    2.54000,   -1.32234,    0.18791,   -0.52771,    1.32756,Segment:  18
   1.13618,   -1.28765,    2.54000,   -1.35455,    0.20780,   -0.57962,    1.41242,Segment:  19
   1.16581,   -1.21239,    2.54000,   -1.38499,    0.22891,   -0.63324,    1.47914,Segment:  20
   1.19686,   -1.13354,    2.54000,   -1.41374,    0.25124,   -0.68797,    1.52305,Segment:  21
   1.22981,   -1.04984,    2.54000,   -1.44090,    0.27484,   -0.74317,    1.54080,Segment:  22
   1.26537,   -0.95950,    2.54000,   -1.46653,    0.29973,   -0.79814,    1.53091,Segment:  23
   1.30458,   -0.85991,    2.54000,   -1.49073,    0.32594,   -0.85217,    1.49403,Segment:  24
   1.34914,   -0.74674,    2.54000,   -1.51357,    0.35350,   -0.90462,    1.43275,Segment:  25
   1.40226,   -0.61182,    2.54000,   -1.53514,    0.38242,   -0.95491,    1.35125,Segment:  26
   1.47211,   -0.43440,    2.54000,   -1.55552,    0.41275,   -1.00255,    1.25459,Segment:  27
   1.64313,   -0.00000,    2.54000,   -1.57480,    0.44450,   -1.04720,    1.14809,Segment:  28
#======= TRAJECTORY END: 2 piece - left of speaker - move 2  - Reverse
