#======= TRAJECTORY BEGIN: 2 piece -right of speaker - move 1 - forward
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    15.825       4.171      -2.094       0.000       0.000      -0.000       1.500
#--------Waypoint:    14.174       3.940       3.159       1.026      -1.315      -1.030       3.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.50800  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.63500,    0.00000,    0.00000,    0.00000,   -0.83930,Segment:  1
   0.37747,    0.23969,    0.63500,    0.04523,   -0.00093,   -0.04303,   -1.07284,Segment:  2
   0.52474,    0.33321,    0.63500,    0.08732,   -0.00378,   -0.09392,   -1.34955,Segment:  3
   0.63221,    0.40145,    0.63500,    0.12650,   -0.00860,   -0.15322,   -1.66284,Segment:  4
   0.71880,    0.45644,    0.15976,    0.16300,   -0.01548,   -0.22108,   -1.99476,Segment:  5
   0.79494,    0.46860,   -0.33076,    0.19705,   -0.02447,   -0.29701,   -2.31343,Segment:  6
   0.86884,    0.44416,   -0.17500,    0.22887,   -0.03564,   -0.37967,   -2.57508,Segment:  7
   0.94359,    0.43108,   -0.06158,    0.25870,   -0.04906,   -0.46686,   -2.73374,Segment:  8
   0.98111,    0.42876,    0.01366,    0.27294,   -0.05664,   -0.51124,   -2.76328,Segment:  9
   1.01854,    0.42928,    0.12897,    0.28677,   -0.06480,   -0.55561,   -2.75670,Segment:  10
   1.09257,    0.43882,    0.29175,    0.31330,   -0.08293,   -0.64267,   -2.63805,Segment:  11
   1.16501,    0.45996,    0.47376,    0.33852,   -0.10352,   -0.72498,   -2.40118,Segment:  12
   1.23514,    0.49318,    0.63500,    0.36267,   -0.12662,   -0.80014,   -2.08857,Segment:  13
   1.30254,    0.53598,    0.63500,    0.38596,   -0.15232,   -0.86664,   -1.74607,Segment:  14
   1.36776,    0.57740,    0.63500,    0.40864,   -0.18068,   -0.92384,   -1.41074,Segment:  15
   1.43175,    0.61803,    0.63500,    0.43092,   -0.21176,   -0.97180,   -1.10614,Segment:  16
   1.55840,    0.69845,    0.63500,    0.47523,   -0.28237,   -1.04234,   -0.62480,Segment:  17
   1.68571,    0.77929,    0.63500,    0.52072,   -0.36470,   -1.08471,   -0.30667,Segment:  18
   1.81528,    0.86157,    0.63500,    0.56923,   -0.45930,   -1.10580,   -0.11070,Segment:  19
   1.94798,    0.94583,    0.63500,    0.62258,   -0.56670,   -1.11142,    0.00412,Segment:  20
   2.01567,    0.98882,   -0.49881,    0.65165,   -0.62537,   -1.10987,    0.04090,Segment:  21
   2.08711,    0.95318,   -0.63500,    0.68261,   -0.68745,   -1.10604,    0.06775,Segment:  22
   2.16623,    0.90294,   -0.63500,    0.71570,   -0.75299,   -1.10032,    0.08685,Segment:  23
   2.25499,    0.84657,   -0.63500,    0.75115,   -0.82208,   -1.09303,    0.09991,Segment:  24
   2.35571,    0.78262,   -0.63500,    0.78918,   -0.89478,   -1.08446,    0.10829,Segment:  25
   2.47185,    0.70887,   -0.63500,    0.83002,   -0.97115,   -1.07485,    0.11308,Segment:  26
   2.60917,    0.62167,   -0.63500,    0.87391,   -1.05127,   -1.06441,    0.11512,Segment:  27
   2.77870,    0.51402,   -0.63500,    0.92107,   -1.13520,   -1.05331,    0.11508,Segment:  28
   3.00856,    0.36806,   -0.63500,    0.97173,   -1.22301,   -1.04171,    0.11350,Segment:  29
   3.58818,    0.00000,   -0.63500,    1.02612,   -1.31476,   -1.02974,    0.11078,Segment:  30
#======= TRAJECTORY END: 2 piece -right of speaker - move 1 - forward
