#======= TRAJECTORY BEGIN: 2 piece - right of speaker - move 2  - Reverse
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    14.174       3.839      -0.000       0.000       0.000       0.000       3.000
#--------Waypoint:    15.864       4.075       1.047       1.690       0.236       1.047       1.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    0.00000,    0.00000,    0.00000,   -0.07327,Segment:  1
   0.44922,    0.41077,    0.91440,    0.09226,   -0.00030,   -0.00652,   -0.06789,Segment:  2
   0.63021,    0.57626,    0.91440,    0.18158,   -0.00115,   -0.01230,   -0.06119,Segment:  3
   0.76562,    0.70008,    0.91440,    0.26799,   -0.00243,   -0.01725,   -0.05295,Segment:  4
   0.87689,    0.80183,    0.91440,    0.35153,   -0.00405,   -0.02127,   -0.04289,Segment:  5
   0.97238,    0.88914,    0.91440,    0.43224,   -0.00589,   -0.02425,   -0.03069,Segment:  6
   1.05642,    0.96599,    0.91440,    0.51017,   -0.00786,   -0.02609,   -0.01596,Segment:  7
   1.13160,    1.03474,    0.91440,    0.58535,   -0.00985,   -0.02665,    0.00176,Segment:  8
   1.19962,    1.09694,    0.91440,    0.65783,   -0.01176,   -0.02578,    0.02304,Segment:  9
   1.26168,    1.15368,    0.91440,    0.72764,   -0.01349,   -0.02331,    0.04854,Segment:  10
   1.31864,    1.20576,   -0.45621,    0.79482,   -0.01492,   -0.01906,    0.07909,Segment:  11
   1.42586,    1.15685,   -0.91440,    0.92147,   -0.01651,   -0.00433,    0.15944,Segment:  12
   1.53106,    1.06066,   -0.91440,    1.03811,   -0.01570,    0.02048,    0.27447,Segment:  13
   1.63677,    0.96399,   -0.91440,    1.14505,   -0.01165,    0.05800,    0.43859,Segment:  14
   1.74375,    0.86617,   -0.91440,    1.24261,   -0.00355,    0.11147,    0.67005,Segment:  15
   1.85338,    0.76593,   -0.91440,    1.33112,    0.00944,    0.18471,    0.98725,Segment:  16
   1.90993,    0.71422,   -0.91440,    1.37208,    0.01803,    0.22998,    1.18090,Segment:  17
   1.96827,    0.66087,   -0.80194,    1.41090,    0.02815,    0.28157,    1.39577,Segment:  18
   2.02883,    0.61230,   -0.63598,    1.44761,    0.03991,    0.33977,    1.62597,Segment:  19
   2.09162,    0.57237,   -0.48666,    1.48227,    0.05340,    0.40460,    1.86075,Segment:  20
   2.15640,    0.54085,   -0.34936,    1.51490,    0.06875,    0.47578,    2.08401,Segment:  21
   2.22290,    0.51761,   -0.22045,    1.54555,    0.08604,    0.55262,    2.27527,Segment:  22
   2.29076,    0.50265,   -0.09696,    1.57426,    0.10538,    0.63396,    2.41271,Segment:  23
   2.35958,    0.49598,   -0.72030,    1.60107,    0.12688,    0.71824,    2.47808,Segment:  24
   2.43294,    0.44314,   -0.91440,    1.62601,    0.15064,    0.80359,    2.46179,Segment:  25
   2.51938,    0.36410,   -0.91440,    1.64914,    0.17676,    0.88805,    2.36610,Segment:  26
   2.63381,    0.25947,   -0.91440,    1.67049,    0.20534,    0.96976,    2.20445,Segment:  27
   2.91756,    0.00000,   -0.91440,    1.69009,    0.23650,    1.04720,    1.99745,Segment:  28
#======= TRAJECTORY END: 2 piece - right of speaker - move 2  - Reverse
